method,scale,sel,mode_kind,n_cells,mean_q_error,std_q_error,median_q_error
minibatch,1M,0.1,bernoulli,500,1.1587,0.1343,1.1324
minibatch,1M,0.3,method,500,1.0535,0.0445,1.0415
minibatch,1M,0.3,bernoulli,500,1.0729,0.0564,1.0596
minibatch,1M,0.5,method,500,1.0369,0.0284,1.0305
minibatch,1M,0.5,bernoulli,500,1.0474,0.0366,1.039
minibatch,8M,0.01,method,500,1.642,0.7867,1.4115
minibatch,8M,0.05,method,500,1.1946,0.1679,1.151
minibatch,8M,0.1,method,500,1.1185,0.1009,1.0942
minibatch,8M,0.3,method,500,1.0579,0.0445,1.0475
minibatch,8M,0.5,method,500,1.036,0.0277,1.0303
minibatch_partial,1M,0.01,method,500,1.5942,0.6894,1.3919
minibatch_partial,1M,0.05,method,500,1.1789,0.1683,1.1361
minibatch_partial,1M,0.1,method,500,1.1158,0.0942,1.0939
minibatch_partial,1M,0.3,method,500,1.059,0.0421,1.053
minibatch_partial,1M,0.5,method,500,1.0381,0.0301,1.03
minibatch_partial,8M,0.01,method,500,1.6503,0.7509,1.4007
minibatch_partial,8M,0.05,method,500,1.1823,0.1841,1.1375
minibatch_partial,8M,0.1,method,500,1.1206,0.1118,1.0902
minibatch_partial,8M,0.3,method,500,1.0548,0.0434,1.0455
minibatch_partial,8M,0.5,method,500,1.0376,0.0294,1.0309
pca1d,1M,0.01,method,500,1.5861,0.689,1.3248
pca1d,1M,0.05,method,500,1.2132,0.1886,1.1764
pca1d,1M,0.1,method,500,1.124,0.1067,1.0963
pca1d,1M,0.3,method,500,1.0584,0.0467,1.0481
pca1d,1M,0.5,method,500,1.0347,0.0297,1.0261
pca1d,8M,0.01,method,500,1.6429,0.7121,1.3463
pca1d,8M,0.05,method,500,1.1947,0.1713,1.1466
pca1d,8M,0.1,method,500,1.1272,0.1077,1.0985
pca1d,8M,0.3,method,500,1.0602,0.0487,1.0512
pca1d,8M,0.5,method,500,1.0381,0.0303,1.0314
pq,1M,0.01,method,500,2.3528,3.0333,1.5991
pq,1M,0.05,method,500,1.2901,0.3428,1.2071
pq,1M,0.1,method,500,1.1765,0.1507,1.1381
pq,1M,0.3,method,500,1.0757,0.06,1.0629
pq,1M,0.5,method,500,1.0506,0.0376,1.043
pq,8M,0.01,method,500,2.0723,2.1761,1.4877
pq,8M,0.05,method,500,1.2675,0.2526,1.2076
pq,8M,0.1,method,500,1.1625,0.1473,1.1202
pq,8M,0.3,method,500,1.0684,0.0537,1.0561
pq,8M,0.5,method,500,1.0468,0.0339,1.0406
random_proj,1M,0.01,method,500,1.9702,1.4392,1.5259
random_proj,1M,0.01,bernoulli,500,1.7874,0.8982,1.2987
random_proj,1M,0.05,method,500,1.2766,0.2904,1.1905
random_proj,1M,0.05,bernoulli,500,1.3717,0.4037,1.2468
random_proj,1M,0.1,method,500,1.1673,0.1608,1.1235
random_proj,1M,0.1,bernoulli,500,1.2564,0.2449,1.1948
random_proj,1M,0.3,method,500,1.0756,0.0642,1.06
random_proj,1M,0.3,bernoulli,500,1.1447,0.12,1.1106
random_proj,1M,0.5,method,500,1.0514,0.0418,1.0433
random_proj,1M,0.5,bernoulli,500,1.0995,0.0781,1.0815
random_proj,8M,0.01,method,500,1.9828,1.4969,1.507
random_proj,8M,0.05,method,500,1.2643,0.2569,1.1999
random_proj,8M,0.1,method,500,1.1713,0.1488,1.1304
random_proj,8M,0.3,method,500,1.0818,0.0659,1.0643
random_proj,8M,0.5,method,500,1.0509,0.04,1.0407
sobol,1M,0.01,method,500,3.3612,28.4903,1.5184
sobol,1M,0.05,method,500,1.2584,0.2729,1.1901
sobol,1M,0.1,method,500,1.1608,0.1439,1.1199
sobol,1M,0.3,method,500,1.0721,0.0608,1.0576
sobol,1M,0.5,method,500,1.051,0.0408,1.0414
sobol,8M,0.01,method,500,7.7854,83.3733,1.5464
sobol,8M,0.05,method,500,1.2707,0.2971,1.1904
sobol,8M,0.1,method,500,1.1681,0.1455,1.1324
sobol,8M,0.3,method,500,1.0837,0.0665,1.07
sobol,8M,0.5,method,500,1.0545,0.0431,1.0431
sparse_rp,1M,0.01,method,500,1.6004,0.7057,1.3103
sparse_rp,1M,0.05,method,500,1.2093,0.1778,1.1776
sparse_rp,1M,0.1,method,500,1.1434,0.1241,1.1159
sparse_rp,1M,0.3,method,500,1.0688,0.0554,1.0582
sparse_rp,1M,0.5,method,500,1.0446,0.0349,1.0366
sparse_rp,8M,0.01,method,500,1.6519,0.7598,1.3374
sparse_rp,8M,0.05,method,500,1.233,0.2335,1.1787
sparse_rp,8M,0.1,method,500,1.1324,0.105,1.1082
sparse_rp,8M,0.3,method,500,1.0626,0.0467,1.0523
sparse_rp,8M,0.5,method,500,1.0406,0.0324,1.0338
spectral,1M,0.01,method,500,2.0197,1.859,1.5283
spectral,1M,0.05,method,500,1.2737,0.3261,1.1903
spectral,1M,0.1,method,500,1.1688,0.1493,1.1301
spectral,1M,0.3,method,500,1.0735,0.0627,1.0555
spectral,1M,0.5,method,500,1.048,0.0388,1.0384
spectral,8M,0.01,method,500,2.0993,2.304,1.4467
spectral,8M,0.05,method,500,1.2457,0.2804,1.1722
spectral,8M,0.1,method,500,1.1514,0.1306,1.1198
spectral,8M,0.3,method,500,1.071,0.0581,1.0553
spectral,8M,0.5,method,500,1.0484,0.0374,1.0406
zorder,1M,0.01,method,500,1.6647,0.7803,1.3356
zorder,1M,0.05,method,500,1.1999,0.1738,1.1596
zorder,1M,0.1,method,500,1.127,0.1036,1.1006
zorder,1M,0.3,method,500,1.058,0.0474,1.0499
zorder,1M,0.5,method,500,1.037,0.0293,1.0303
zorder,8M,0.01,method,500,1.6764,0.7495,1.3559
zorder,8M,0.05,method,500,1.2037,0.1978,1.1617
zorder,8M,0.1,method,500,1.1289,0.1116,1.0991
zorder,8M,0.3,method,500,1.057,0.044,1.0482
zorder,8M,0.5,method,500,1.0383,0.0294,1.0318
