dataset,sel,method_q,random20_q,km20_q,bern_q,denom_pct,recovery,metric,method_minus_random_pct,method_minus_bern_pct,method
SIFT,0.5,1.0284995739630147,1.0432368215314505,1.0308746022447766,1.0416938184624556,1.1849868631483336,1.1921198958444332,recovery,-1.412646415873413,,hilbert
DEEP,0.01,1.932267155981961,1.663208551074183,1.597097632358483,1.6488414194206877,3.9749025263850615,-4.06980586769371,recovery,16.17708162539248,,lsh
DEEP,0.05,1.2583248318384797,1.1980786451114498,1.194996397299045,1.2145249581469018,0.25726590027970375,,fallback_abs_pct,5.028566945321485,3.6063378852590136,lsh
DEEP,0.1,1.1670848622683496,1.1300011558526857,1.1252721297025954,1.138595160728984,0.4184974613164737,,fallback_abs_pct,3.2817405737679097,2.502180100706313,lsh
DEEP,0.3,1.0740566163876122,1.062949275788585,1.0568118375437836,1.0656068342581544,0.5773970954774045,,fallback_abs_pct,1.0449549053774767,0.792954949030549,lsh
DEEP,0.5,1.0477060871426125,1.041105157644195,1.0354807133325237,1.0430851554031715,0.5402378684203483,,fallback_abs_pct,0.6340310054129442,0.44300618367586,lsh
SIFT,0.01,2.0898229689589143,1.687954325489832,1.673486423184545,1.6899661131218506,0.8571264095720399,,fallback_abs_pct,23.808028297949534,23.660643413637075,lsh
SIFT,0.05,1.2976799240645664,1.2450965961689382,1.1955252110905525,1.226280401263683,3.981328455230928,-1.0607597066831986,recovery,4.223232804380231,,lsh
SIFT,0.1,1.1857287615452192,1.1508299591934297,1.1102131748232031,1.1440891564501692,3.5293471503551404,-0.8592212035714857,recovery,3.0324899063497366,,lsh
SIFT,0.3,1.0809866447802838,1.0689669160354351,1.0479396393597922,1.0649669014749097,1.9670652440422147,-0.571625557139874,recovery,1.1244247660561133,,lsh
SIFT,0.5,1.0493202012978158,1.0432368215314505,1.0308746022447766,1.0416938184624556,1.1849868631483336,-0.4920944714937226,recovery,0.5831254841479835,,lsh
