selectivity,seed,query_id,bernoulli,birch,distance_shell,gmm,hdbscan,hilbert,hybrid,kde_pilot,kdtree,km20,lsh,minibatch,minibatch_partial,pca1d,pq,random_proj,sobol,sparse_rp,spectral,zorder,best,worst,spread
0.01,0.1,45,1.2178191666666665,1.0785563545303536,1.2178191666666665,1.1131301632552324,1.115889231435744,1.8347717799043186,,3.4193725027145434,1.157575582477834,1.4858074059423891,,1.0150719183215609,1.1332900677112225,1.3808080121796666,2.2734299475043054,3.1963498247153566,1.3429541492387178,3.6060190150475377,1.7303465583995443,1.0944672921040153,minibatch,sparse_rp,2.590947096725977
0.01,0.1,46,3.9254599999999997,1.630322843323491,,1.7311219828209206,1.2004864559207418,1.9582374457921876,1.2174089168094815,2.2168364100897624,1.5789207188823002,1.568087201379282,1.0592778579319029,1.0999137871228586,1.9746449200925027,1.9312410823878328,1.6070103600999361,1.7628516621713606,1.173274897534637,1.767981090365675,1.0873161925916468,1.026621507918482,zorder,bernoulli,2.898838492081518
0.01,0.1,47,1.0489655478738862,1.0797662746380583,1.835689708779301,1.4065165824751464,2.0305396328716125,1.2668518092635757,1.4394630897447565,2.9437275748697216,1.5086107381205283,1.1319404616292872,1.4907261559757767,1.676588489029912,1.1981090208595895,1.8520651315449552,1.1652225203138087,1.2487143831662906,,1.2545858333333333,1.4636754294079786,1.055601350512088,bernoulli,kde_pilot,1.8947620269958354
0.01,0.1,48,1.8597665625,1.2403058650001941,1.4090041734297172,1.8137943644189853,1.3997806591936892,1.2613774841923135,1.0685319557954678,3.2339748712488547,2.9225911611226323,1.3777816820123514,1.103306815239717,2.407005524718912,1.2379149753045815,1.088595027140105,1.3895001402282485,10.031224383846112,3.025005022162206,1.24448495295335,1.260516407659291,1.26273442365408,hybrid,random_proj,8.962692428050644
0.01,0.1,49,1.5181165866097375,3.4263578181454073,1.2650971555081145,1.1601300969318271,1.2611200418979174,3.811109645651983,1.7030855659221131,7.023475964128103,,1.865490026435953,2.347183905798257,1.2314867579908677,1.8221527531249415,1.908234744516978,1.4764416542618601,1.087173660177842,1.1655749419210126,1.3003125,1.2624086794009854,1.2938082191780822,random_proj,kde_pilot,5.936302303950261
0.01,0.1,50,3.760439375,1.0029969534722536,1.0637054878726773,2.0336929937944594,4.291111782311431,1.2904658882594837,1.0289787228023477,4.402067701924194,1.1925162554770616,1.329426440466079,6.042175220684294,1.3135807242289548,1.742309824395258,1.3203426446223734,2.817799895422008,1.4531071223381402,2.077814771382442,1.3471263423278759,1.003542245420206,1.5359622292527284,birch,lsh,5.039178267212041
0.01,0.1,51,1.3167239578747088,2.8832946443854226,1.0533791662997671,1.3560724061139242,1.1334212027121222,1.2380024756828978,3.7132132578403256,4.596505944787171,1.2197160863775354,1.1806280036953165,1.693481340240423,1.7376419678560826,1.650875903401492,1.0705545309316,1.7390600785085237,2.208523822585649,1.5673963329369176,1.8739960924951158,1.0530988964077386,1.3349677660344383,spectral,kde_pilot,3.543407048379432
0.01,0.1,52,1.2201968818173734,8.451359286191908,1.3518728043156512,1.029026326217641,1.4964745180625705,2.0196384409592136,1.2824424694630276,1.599869740357102,1.083766873220566,1.5272814159880188,1.1594979548511992,1.2829617845760013,1.1880280649896315,1.7114263691337521,3.0142159520495753,4.265274430916387,1.08813253611556,1.1991633663886543,3.4289914020498156,1.9533329974848452,gmm,birch,7.422332959974266
0.01,0.1,53,1.8565181249999998,1.5910596601516034,1.2648804807692309,1.6114300789816478,1.4009352144657208,3.58038067278407,2.7057637892941586,2.082706167417606,1.1891016326881436,1.2846020876906474,4.886143118556615,1.1332756101520647,2.199757519262543,1.6399593158181245,1.8469033829267463,1.2587334407231987,1.0750781231092594,1.609903910565745,1.0044282931062003,,spectral,lsh,3.8817148254504144
0.01,0.1,54,1.278406594021212,1.0463982954803028,1.23598125,1.4611263300369786,3.0095652850143866,1.5705335690647806,1.152657483502037,3.68251852212731,3.176176567385223,1.424261817334033,1.8230867867342777,2.6978488912495022,1.069667709324992,1.052104421259868,1.0184297954187795,1.41947799084274,1.5707419019889726,1.002680581108374,2.9933585602071915,2.61317699934591,sparse_rp,kde_pilot,2.6798379410189357
0.01,0.1,55,2.0247390624999997,1.7090926377087168,1.0123695312499998,1.3482772532376754,1.2898505399513998,1.5056109285037418,1.7200825955196388,1.562964547291843,1.889168133954233,2.112048437690578,1.1580112762240296,1.653782005372931,1.6068803537752816,1.2420264518328323,1.074268673099738,1.2387004888178614,1.4302237927573516,1.0118702531645567,1.2885338904334935,2.2540357966042324,sparse_rp,zorder,1.2421655434396757
0.01,0.1,56,1.8494608243740445,1.0237780006999966,2.0806434274208,1.2130499507124775,2.1291967840309765,3.8005992273121505,1.3520358445445557,1.634657964861046,1.3346144297001994,1.2091746872743863,1.7636110187225666,2.7657749517664874,2.02367474116522,1.329181726743015,8.856854121719339,1.3462133597627772,1.6074927741748104,1.9157625897108463,1.1199208264804095,,birch,pq,7.833076121019342
0.01,0.1,57,1.6361591164740774,1.317925818483216,1.8432810402516477,3.928751689216692,1.1292137726205278,1.206028643805046,1.4986358613068103,3.2016302063248707,1.023381958834093,2.874625581904194,1.720404613896947,2.5311542818780683,1.0488154441221165,1.4051719850808122,,1.2600160243127505,1.2122285536676336,1.2269481127558364,1.0691908175872067,1.1896212570643518,kdtree,gmm,2.9053697303825987
0.01,0.1,58,1.3528579166666665,1.354002910224148,1.2319598726030296,1.2413274036943331,1.4344149141321538,2.0278753670142757,1.268017456903815,1.0684143754957298,1.5993312605738184,1.3802296133294558,1.6058322618404557,1.7102866671742556,1.0366179651999297,2.0065015646581355,2.228848593430072,1.298915242762016,1.0214789376618028,2.1083526354407947,1.1759132546903104,1.5056897823566195,sobol,pq,1.2073696557682692
0.01,0.1,59,1.3126414583333332,1.2601386879764949,2.2854679630560453,1.137015554757588,1.1499363548127532,3.797234223914536,2.8696442645432914,2.3521840958876554,3.29821237832282,3.3141314184675883,1.0816418486076542,4.31161689134661,1.0656331156001777,1.3023812111946063,1.716257448607643,2.304439273115347,2.682699636524555,1.8009754855076145,3.5277177205012187,1.2815420580006893,minibatch_partial,minibatch,3.2459837757464323
0.01,0.1,60,1.0550505600010551,1.6434001151506556,1.2637625,1.3842425942999157,3.629261621944034,1.598325115912401,1.2266342980451894,1.2771863986796559,1.1727762857257384,1.4036254463165452,1.2453641720447348,2.235020426690876,1.7479353898469758,1.24479609334848,2.276713833326652,1.4650274395346585,1.1251256334666584,1.290362068965517,1.9267981454015848,1.5850997447922932,bernoulli,hdbscan,2.5742110619429788
0.01,0.1,61,1.2508560546123755,1.2918575981852052,1.2508560546123755,1.2866682930538482,2.0601936456841594,2.0902643910148324,1.202584794519504,1.1861749864953237,3.3236496922842993,4.419520336951529,1.487380979432656,1.458529429066421,1.6265426563682053,1.2117431913518446,1.5433474533311367,1.2891270102779222,2.34713606016702,1.0011786026588263,1.4937263851497773,1.2061724561825948,sparse_rp,km20,3.418341734292703
0.01,0.1,62,1.2873918749999997,1.786623323476348,1.9310878125,1.138415215034657,2.050315810459947,1.2677972359780614,1.9612253331836185,8.001746142125231,1.8234524106985341,1.1728117216640128,1.330793536493471,1.443217895773039,1.9887509697948662,1.2556281221164383,2.8940336452642397,1.2473409868411367,1.5248283475968663,1.292207186606768,1.2781870754790607,2.505478857324239,gmm,kde_pilot,6.8633309270905745
0.01,0.1,63,1.9134981249999998,1.5878459611245628,1.0620643093215096,,2.0749927527503145,1.3125279557131988,1.6352598916405652,2.350267022353806,1.040253882540081,1.3282555058783112,1.143091674723971,1.8868052402579094,1.1188138932754788,1.2702062587115912,1.6424875473056777,4.522826396060648,1.2239961633617247,1.8886474999999998,7.380340168618908,1.3254000341938432,kdtree,spectral,6.340086286078827
0.01,0.1,64,1.3446285416666666,2.1499902360857943,2.0169428125,2.152733903485117,1.2379874029809135,1.8969423878829514,1.43349518617053,2.021654784895055,1.0976719841691422,1.2508088979083876,1.1120271644023385,1.3073458227714574,1.7276849979184965,2.1125042529329487,1.2252281647797092,1.460192929921468,2.9001625644622404,1.3271636213939644,2.723724914214412,1.2453200397589097,kdtree,sobol,1.8024905802930982
0.01,0.1,65,3.950436875,1.063925757844854,1.9752184375,3.2976864331540274,1.8876431488286176,3.8615308434122726,2.9955479327080976,1.3801367755412373,1.5706949857498211,2.187977069258354,6.34745821344414,,3.1426116076825736,1.0108274084043054,1.566848523357439,2.2027993406225614,1.1846973987561937,1.5259792081956693,2.386325941829238,1.0251222547579493,pca1d,lsh,5.336630805039835
0.01,0.1,66,3.614043125,4.005004701556426,1.2046810416666665,3.057846156483797,1.6750581528591444,1.8506275478516707,4.426350697374298,2.0586152556645514,1.5625582842681363,1.1019910311075247,2.5696743089463943,1.0387021739036273,1.2013003532974549,1.8544003790185748,2.90089782196266,1.4657604044998762,1.651910140093226,1.0793051863449588,9.420281913313307,1.0856898761811915,minibatch,spectral,8.38157973940968
0.01,0.1,67,1.8167965108423012,2.295632672192716,1.4941877846179672,1.629986691440732,1.7916180824976855,1.0321178785386669,1.0219917838963581,1.2737253867789717,1.3085813185866828,2.0508888288469516,2.8768809506435558,1.963822197779215,1.736639491460988,1.4849152521202584,1.4702657973295363,1.7551919950511417,1.2532946260055655,1.512006272848532,2.440635461566416,1.9492167428033238,hybrid,lsh,1.8548891667471976
