dataset,sel,method,n_pairs,delta_pct_mean,delta_pct_ci_low,delta_pct_ci_high,delta_pct_se,ci_excludes_zero,cohens_d,d_magnitude,direction
DEEP,0.1,is_p50_noclip,489,25.509769237769415,20.54813472275316,30.614777169225388,2.778823574589119,True,0.5393375878485941,medium,hurt
DEEP,0.1,is_p50_clip,489,45.02500977655881,37.00268803807548,55.63872309438393,4.5831794459087405,True,0.5389056286070049,medium,hurt
DEEP,0.1,is_p200_noclip,480,40.03200558971925,32.589250900778104,48.3262806250418,4.212305569786654,True,0.7015143199443159,medium,hurt
DEEP,0.1,is_p200_clip,480,52.57310989420656,43.222788473693086,58.82918046510075,4.045488018087513,True,0.7177713697585899,medium,hurt
DEEP,0.1,spectral,500,1.0686309218462102,-1.103363688023835,3.1296564743923945,0.9898098523026703,False,0.16152273204849366,negligible,hurt
DEEP,0.1,birch,500,-1.3729113190635407,-3.0367309578563155,0.4540122050399746,0.815410449631841,False,-0.057885127841239316,negligible,improve
DEEP,0.1,gmm,500,-1.9888160931887182,-3.705566503012375,-0.016387723685840076,0.8352856545767547,True,-0.08941253664631024,negligible,improve
DEEP,0.1,hdbscan,500,-2.763246538833263,-4.381339142714477,-0.9220047846889771,0.792546229788203,True,-0.1626701705207109,negligible,improve
DEEP,0.1,sobol,500,0.33327462379767236,-1.7404272266338203,2.6188120364893965,1.0367707912213004,False,0.12158091372442986,negligible,hurt
DEEP,0.1,sparse_rp,500,-0.2956279459943082,-2.3043913873607926,1.7359449760765797,0.9517743209891522,False,0.028703472323518678,negligible,hurt
DEEP,0.3,minibatch,500,-0.8648130662932917,-1.618678003797546,-0.310296304705798,0.33339133114122893,True,-0.16702829400501412,negligible,improve
DEEP,0.3,minibatch_partial,500,0.20533698785628202,-0.5695877827615414,0.7419066089915952,0.3413694060583672,False,-0.09708224399596854,negligible,improve
DEEP,0.3,random_proj,500,0.8743642643014905,-0.07135978548749726,1.7074055038383351,0.45678132043370434,False,0.11851383140826584,negligible,hurt
DEEP,0.3,pca1d,500,-0.31489885357890507,-1.2488989973159874,0.3992717954880697,0.4010672891024152,False,-0.10248518670235007,negligible,improve
DEEP,0.3,hilbert,500,-0.3494026828737467,-1.1028478438195037,0.25432247284880244,0.33781782465766347,False,-0.10723917446031604,negligible,improve
DEEP,0.3,zorder,500,-0.08772129176482207,-1.004482518878239,0.5789025034600417,0.3919175217176073,False,-0.10848235288158727,negligible,improve
DEEP,0.3,hybrid,500,-0.12531842346334818,-0.9183983375828846,0.4231969365885214,0.3595285214618953,False,-0.08105826508838325,negligible,improve
DEEP,0.3,kdtree,500,0.511104565057317,-0.3353430466393094,1.2689911555445803,0.3942993690588426,False,0.019931462175977053,negligible,hurt
