dataset,selectivity,query_id,mode,q_error,bern_q,method_minus_bern,rank
DEEP,0.01,8,minibatch,1.3235180801972832,1.6174603174603175,-0.29394223726303426,5.0
DEEP,0.01,8,minibatch_partial,1.44829177314107,1.6174603174603175,-0.16916854431924744,8.0
DEEP,0.01,8,pca1d,1.7583684477627108,1.6174603174603175,0.14090813030239335,15.0
DEEP,0.01,8,pq,1.364481844182627,1.6174603174603175,-0.2529784732776905,6.0
DEEP,0.01,8,random20,1.7451034372620842,1.6174603174603175,0.12764311980176668,13.0
DEEP,0.01,8,random_proj,2.018563907717097,1.6174603174603175,0.40110359025677944,19.0
DEEP,0.01,8,sobol,1.3032321133114568,1.6174603174603175,-0.31422820414886066,4.0
DEEP,0.01,8,sparse_rp,1.4228070175438599,1.6174603174603175,-0.19465329991645763,7.0
DEEP,0.01,8,spectral,2.445710289719477,1.6174603174603175,0.8282499722591594,21.0
DEEP,0.01,8,zorder,1.175713,1.6174603174603175,-0.4417473174603175,3.0
DEEP,0.01,9,birch,1.9983089663850375,1.58996632996633,0.4083426364187075,17.0
DEEP,0.01,9,distance_shell,1.5539392446633826,1.58996632996633,-0.036027085302947404,8.0
DEEP,0.01,9,gmm,1.5157834240834935,1.58996632996633,-0.07418290588283649,7.0
DEEP,0.01,9,hdbscan,2.3919170234088427,1.58996632996633,0.8019506934425127,19.0
DEEP,0.01,9,hilbert,1.6473569491626072,1.58996632996633,0.05739061919627719,12.0
DEEP,0.01,9,hybrid,1.2500822171960806,1.58996632996633,-0.33988411277024944,2.0
DEEP,0.01,9,is_p200_clip,2.2078291351730654,1.58996632996633,0.6178628052067354,18.0
DEEP,0.01,9,is_p200_noclip,13.32674078039221,1.58996632996633,11.73677445042588,22.0
DEEP,0.01,9,kde_pilot,1.8305576243727877,1.58996632996633,0.24059129440645766,14.0
DEEP,0.01,9,kdtree,1.250333418330732,1.58996632996633,-0.33963291163559806,3.0
DEEP,0.01,9,km20,1.8712758003295717,1.58996632996633,0.2813094703632417,15.0
DEEP,0.01,9,lsh,1.6163376020659908,1.58996632996633,0.026371272099660725,11.0
DEEP,0.01,9,minibatch,1.176050052631579,1.58996632996633,-0.4139162773347511,1.0
DEEP,0.01,9,minibatch_partial,1.5564364899222836,1.58996632996633,-0.033529840044046466,9.0
DEEP,0.01,9,pca1d,1.2655450547666778,1.58996632996633,-0.32442127519965225,4.0
DEEP,0.01,9,pq,3.882858129029249,1.58996632996633,2.292891799062919,21.0
DEEP,0.01,9,random20,1.8889521812168653,1.58996632996633,0.29898585125053523,16.0
DEEP,0.01,9,random_proj,2.843045429275597,1.58996632996633,1.2530790993092669,20.0
DEEP,0.01,9,sobol,1.7909227700131243,1.58996632996633,0.20095644004679425,13.0
DEEP,0.01,9,sparse_rp,1.4593815046089802,1.58996632996633,-0.13058482535734983,6.0
DEEP,0.01,9,spectral,1.607513977786094,1.58996632996633,0.017547647819764034,10.0
DEEP,0.01,9,zorder,1.3459292164114864,1.58996632996633,-0.2440371135548436,5.0
DEEP,0.01,10,birch,1.462230400384914,1.6055747955747954,-0.1433443951898814,10.0
DEEP,0.01,10,distance_shell,1.737056277056277,1.6055747955747954,0.13148148148148153,15.0
DEEP,0.01,10,gmm,1.4915372757303937,1.6055747955747954,-0.11403751984440169,13.0
DEEP,0.01,10,hdbscan,1.3553522430026055,1.6055747955747954,-0.25022255257218995,7.0
DEEP,0.01,10,hilbert,1.4654345332344283,1.6055747955747954,-0.14014026234036714,11.0
DEEP,0.01,10,hybrid,2.1708847071539736,1.6055747955747954,0.5653099115791782,17.0
DEEP,0.01,10,kde_pilot,1.1137053324883628,1.6055747955747954,-0.49186946308643265,3.0
DEEP,0.01,10,kdtree,1.545838935177604,1.6055747955747954,-0.059735860397191365,14.0
DEEP,0.01,10,km20,1.4368819080860966,1.6055747955747954,-0.16869288748869882,9.0
DEEP,0.01,10,lsh,1.09357096533122,1.6055747955747954,-0.5120038302435754,2.0
DEEP,0.01,10,minibatch,2.350933553603147,1.6055747955747954,0.7453587580283514,18.0
DEEP,0.01,10,minibatch_partial,1.2817749017013533,1.6055747955747954,-0.3237998938734421,5.0
DEEP,0.01,10,pca1d,1.470832542627734,1.6055747955747954,-0.13474225294706144,12.0
