dataset,selectivity,query_id,mode,q_error,bern_q,method_minus_bern,rank
DEEP,0.01,10,random20,1.2314826933388692,1.6055747955747954,-0.37409210223592626,4.0
DEEP,0.01,10,random_proj,2.3838738748841743,1.6055747955747954,0.7782990793093789,19.0
DEEP,0.01,10,sobol,2.649443635217201,1.6055747955747954,1.0438688396424054,20.0
DEEP,0.01,10,sparse_rp,1.3346642468239565,1.6055747955747954,-0.270910548750839,6.0
DEEP,0.01,10,spectral,1.379330513615323,1.6055747955747954,-0.22624428195947233,8.0
DEEP,0.01,10,zorder,1.8286010078084842,1.6055747955747954,0.2230262122336888,16.0
DEEP,0.01,11,birch,1.350873604064544,1.823419410047317,-0.47254580598277296,5.0
DEEP,0.01,11,distance_shell,1.9934816919191918,1.823419410047317,0.1700622818718749,19.0
DEEP,0.01,11,gmm,1.6642701688041206,1.823419410047317,-0.1591492412431963,15.0
DEEP,0.01,11,hdbscan,1.6423960487488387,1.823419410047317,-0.18102336129847818,13.0
DEEP,0.01,11,hilbert,1.184884210526316,1.823419410047317,-0.6385351995210009,2.0
DEEP,0.01,11,hybrid,2.1751399362533888,1.823419410047317,0.35172052620607186,20.0
DEEP,0.01,11,is_p50_clip,1.0122400511556597,1.823419410047317,-0.8111793588916572,1.0
DEEP,0.01,11,is_p50_noclip,3.4479360438104885,1.823419410047317,1.6245166337631716,22.0
DEEP,0.01,11,kde_pilot,3.184563287370552,1.823419410047317,1.3611438773232352,21.0
DEEP,0.01,11,kdtree,1.5720028073002463,1.823419410047317,-0.25141660274707056,12.0
DEEP,0.01,11,km20,1.5462716305130377,1.823419410047317,-0.27714777953427916,11.0
DEEP,0.01,11,lsh,1.4696968885294825,1.823419410047317,-0.35372252151783434,9.0
DEEP,0.01,11,minibatch,1.536586718653958,1.823419410047317,-0.286832691393359,10.0
DEEP,0.01,11,minibatch_partial,1.3708997910007246,1.823419410047317,-0.4525196190465923,6.0
DEEP,0.01,11,pca1d,1.6473504164976247,1.823419410047317,-0.1760689935496922,14.0
DEEP,0.01,11,pq,1.734221716058515,1.823419410047317,-0.08919769398880195,18.0
DEEP,0.01,11,random20,1.4336783920803247,1.823419410047317,-0.38974101796699223,7.0
DEEP,0.01,11,random_proj,1.7114963157894738,1.823419410047317,-0.11192309425784308,17.0
DEEP,0.01,11,sobol,1.2992001523057846,1.823419410047317,-0.5242192577415323,4.0
DEEP,0.01,11,sparse_rp,1.443241153731787,1.823419410047317,-0.3801782563155298,8.0
DEEP,0.01,11,spectral,1.6690312716558249,1.823419410047317,-0.154388138391492,16.0
DEEP,0.01,11,zorder,1.231378952999283,1.823419410047317,-0.592040457048034,3.0
DEEP,0.01,12,birch,1.1950803727894594,1.3407623857623858,-0.14568201297292638,2.0
DEEP,0.01,12,distance_shell,1.3812152847152848,1.3407623857623858,0.04045289895289894,4.0
DEEP,0.01,12,gmm,1.4589714883686622,1.3407623857623858,0.11820910260627637,8.0
DEEP,0.01,12,hdbscan,2.3537811291940733,1.3407623857623858,1.0130187434316875,17.0
DEEP,0.01,12,hilbert,1.346425664146229,1.3407623857623858,0.005663278383843284,3.0
DEEP,0.01,12,hybrid,1.4109411633508953,1.3407623857623858,0.07017877758850943,6.0
DEEP,0.01,12,kde_pilot,1.106372778035471,1.3407623857623858,-0.23438960772691475,1.0
DEEP,0.01,12,kdtree,1.3909803480978582,1.3407623857623858,0.05021796233547238,5.0
