method,dataset,sel,n,delta_pct_mean,ci_lo,ci_hi,ci0_excl,cohen_d,method_median,bern_median
sobol,DEEP_1M,0.1,500,1.65,0.163,3.119,True,0.0225,1.1199,1.1169
sobol,DEEP_1M,0.3,500,-0.173,-0.88,0.512,False,-0.0633,1.0576,1.0596
sobol,DEEP_1M,0.5,500,0.253,-0.21,0.745,False,0.0207,1.0414,1.0405
sparse_rp,DEEP_1M,0.01,467,8.204,2.562,13.711,True,-0.1022,1.3103,1.2987
sparse_rp,DEEP_1M,0.05,500,-0.419,-2.203,1.391,False,-0.1275,1.1776,1.1948
sparse_rp,DEEP_1M,0.1,500,0.129,-1.195,1.443,False,-0.0682,1.1159,1.1169
sparse_rp,DEEP_1M,0.3,500,-0.475,-1.116,0.189,False,-0.1035,1.0582,1.0596
sparse_rp,DEEP_1M,0.5,500,-0.356,-0.823,0.091,False,-0.0959,1.0366,1.0405
minibatch,DEEP_8M,0.1,500,-2.129,-3.25,-0.985,True,-0.2277,1.0942,1.129
minibatch,DEEP_8M,0.3,500,-0.841,-1.418,-0.272,True,-0.1641,1.0475,1.0551
minibatch_partial,DEEP_8M,0.1,500,-1.976,-3.112,-0.798,True,-0.2076,1.0902,1.129
minibatch_partial,DEEP_8M,0.3,500,-1.14,-1.685,-0.587,True,-0.2138,1.0455,1.0551
random_proj,DEEP_8M,0.1,500,2.503,0.994,3.892,True,0.0879,1.1304,1.129
random_proj,DEEP_8M,0.3,500,1.438,0.722,2.206,True,0.1338,1.0643,1.0551
pca1d,DEEP_8M,0.1,500,-1.306,-2.497,-0.095,True,-0.1617,1.0985,1.129
pca1d,DEEP_8M,0.3,500,-0.605,-1.225,-0.004,True,-0.1224,1.0512,1.0551
hilbert,DEEP_8M,0.1,500,-2.207,-3.324,-1.142,True,-0.2357,1.0966,1.129
hilbert,DEEP_8M,0.3,500,-1.113,-1.614,-0.546,True,-0.2109,1.0464,1.0551
zorder,DEEP_8M,0.1,500,-1.187,-2.326,0.069,False,-0.1519,1.0991,1.129
zorder,DEEP_8M,0.3,500,-0.921,-1.501,-0.34,True,-0.1774,1.0482,1.0551
hybrid,DEEP_8M,0.1,500,-1.728,-2.861,-0.588,True,-0.1988,1.0966,1.129
hybrid,DEEP_8M,0.3,500,-1.025,-1.585,-0.462,True,-0.1923,1.0465,1.0551
kdtree,DEEP_8M,0.1,500,-1.591,-2.723,-0.439,True,-0.1844,1.0995,1.129
kdtree,DEEP_8M,0.3,500,-0.641,-1.238,0.008,False,-0.1271,1.0486,1.0551
pq,DEEP_8M,0.1,500,1.783,0.308,3.3,True,0.0415,1.1202,1.129
pq,DEEP_8M,0.3,500,0.153,-0.516,0.784,False,-0.0154,1.0561,1.0551
lsh,DEEP_8M,0.1,500,1.329,0.007,2.623,True,0.0171,1.1262,1.129
lsh,DEEP_8M,0.3,500,1.078,0.418,1.764,True,0.1065,1.0627,1.0551
kde_pilot,DEEP_8M,0.1,1000,6.657,5.319,7.975,True,0.262,1.1612,1.129
kde_pilot,DEEP_8M,0.3,1000,1.065,0.587,1.556,True,0.1005,1.0626,1.0551
distance_shell,DEEP_8M,0.1,1000,6.141,4.902,7.324,True,0.2517,1.1641,1.129
distance_shell,DEEP_8M,0.3,1000,6.33,5.43,7.192,True,0.4233,1.0864,1.0551
spectral,DEEP_8M,0.1,500,0.779,-0.565,2.186,False,-0.0168,1.1198,1.129
spectral,DEEP_8M,0.3,500,0.382,-0.225,1.039,False,0.0169,1.0553,1.0551
birch,DEEP_8M,0.1,500,-1.278,-2.396,-0.114,True,-0.1638,1.1034,1.129
birch,DEEP_8M,0.3,500,-0.581,-1.141,-0.014,True,-0.1247,1.0518,1.0551
gmm,DEEP_8M,0.1,500,-1.627,-2.798,-0.364,True,-0.182,1.101,1.129
