method,dataset,sel,n_pairs,deff,ess,var_method,var_bern,icc
lsh,SIFT,0.5,4500,0.16597510234870327,2319.6250193666947,0.001622232867429883,0.009773953107868393,0.037505374934626586
kde_pilot,DEEP,0.01,4380,15.30764500542221,25.15083148737947,9.263609426969415,0.605162284837942,0.01720878894010486
kde_pilot,DEEP,0.05,4500,0.459410561790625,838.0303632972692,0.03342656406254211,0.07275967694834183,0.16555584433085002
kde_pilot,DEEP,0.1,4500,0.6368137349347581,604.5723873079519,0.015824509803577393,0.02484951083097889,0.1671872077953018
kde_pilot,DEEP,0.3,4500,0.5033656374598927,764.8515737840291,0.002939652008182727,0.005839993415158288,0.0
kde_pilot,DEEP,0.5,4500,0.35128400963261924,1095.979291521529,0.000826793233299318,0.0023536318495225475,0.0
kde_pilot,SIFT,0.01,4300,7.185699648591478,53.578637965402116,4.973476520481763,0.692135319273559,0.170459706100366
kde_pilot,SIFT,0.05,4500,0.3269384480213423,1177.5916914332067,0.045029697019732084,0.1377314209823146,0.22304328493501144
kde_pilot,SIFT,0.1,4500,0.22505574368540332,1710.6872888264365,0.014474134244396131,0.0643135518666387,0.10618758694283806
kde_pilot,SIFT,0.3,4500,0.1154198785788859,3335.6472450009073,0.0024862924601942765,0.02154128466263264,0.11123975570894165
kde_pilot,SIFT,0.5,4500,0.0744335346216655,5172.399805502953,0.0007275098770450572,0.009773953107868393,0.13973770957288856
distance_shell,DEEP,0.01,4285,1.0825641664916046,355.6371177957198,0.6540242391292186,0.6041436243440361,0.024229223847033257
distance_shell,DEEP,0.05,4500,1.5687440219640982,245.41926191245176,0.11414130825275025,0.07275967694834183,0.033706733469434265
distance_shell,DEEP,0.1,4500,2.8829657487974156,133.5430364237233,0.07164028860008255,0.02484951083097889,0.0
distance_shell,DEEP,0.3,4500,6.697443793446044,57.484618292243326,0.03911302765211764,0.005839993415158288,0.0
distance_shell,DEEP,0.5,4500,5.000602986846375,76.99071512229764,0.01176957845665921,0.0023536318495225475,0.012611715079256671
distance_shell,SIFT,0.01,4111,0.9362904172299487,411.1972021875834,0.6399374955317642,0.683481838279456,0.09279067450960486
distance_shell,SIFT,0.05,4500,1.574858411035397,244.46642142697783,0.21690748679785532,0.1377314209823146,0.10993189767228137
distance_shell,SIFT,0.1,4500,1.4793732845586445,260.24533768355883,0.09514375046658204,0.0643135518666387,0.13586037731141176
distance_shell,SIFT,0.3,4500,2.3194250954934055,165.98940864615415,0.04996339623567734,0.02154128466263264,0.06575556367074688
distance_shell,SIFT,0.5,4500,1.6193783323705933,237.7455547626119,0.015827727884488295,0.009773953107868393,0.0019411746978434108
is_p50_clip,DEEP,0.01,409,0.3406489755217592,1130.1956784408642,0.16654065013629057,0.48889226771108446,
is_p50_clip,DEEP,0.05,3483,54.01584593924594,7.127538101190285,3.6874939083258,0.06826689176493303,0.00906987083143604
is_p50_clip,DEEP,0.1,4401,229.21885063569852,1.6796175311597177,5.631700502268644,0.024569098425588055,0.17560770288480484
is_p50_clip,DEEP,0.3,4500,10.311493373779086,37.33697787936418,0.06021905340331818,0.005839993415158288,0.15212830890832657
is_p50_clip,DEEP,0.5,4500,5.180872942037966,74.31180117853944,0.01219386756471014,0.0023536318495225475,0.1260783828522754
is_p50_clip,SIFT,0.01,963,0.5854023456822901,657.6673339962109,0.3618218656230903,0.6180738227165534,
is_p50_clip,SIFT,0.05,3825,20.815186997922684,18.496110558046983,2.791338453194485,0.13410105100055336,0.26224566159297125
is_p50_clip,SIFT,0.1,4437,73.83756032270219,5.214148440405979,4.686690885610147,0.06347299213472483,0.20205069124378558
is_p50_clip,SIFT,0.3,4500,2.2612368152627758,170.26080479556475,0.04870994592720031,0.02154128466263264,0.35778675014347383
is_p50_clip,SIFT,0.5,4500,0.8454006972119764,455.4053495220442,0.008262906771909103,0.009773953107868393,0.3415261961660365
is_p200_clip,DEEP,0.01,217,0.9530219482356683,403.97810429523827,0.6307465656792556,0.6618384464775005,
is_p200_clip,DEEP,0.05,2727,12.649128605501232,30.436879251315357,0.9098135648961567,0.07192697562585218,
is_p200_clip,DEEP,0.1,4320,100.65465956601884,3.8249595364979663,2.523611862381169,0.025071982492037,0.08593985793513409
is_p200_clip,DEEP,0.3,4500,11.416902922988458,33.72192989613539,0.066674637891754,0.005839993415158288,0.13975023100073747
is_p200_clip,DEEP,0.5,4500,6.091882261750827,63.198857669542306,0.0143380481147982,0.0023536318495225475,0.1534730527471975
is_p200_clip,SIFT,0.01,540,3.1844809005036834,120.8988252807876,1.5757158320256959,0.4948108910863519,
is_p200_clip,SIFT,0.05,3258,5.971176650313507,64.4764043247299,0.7761492866861812,0.12998263694734785,
is_p200_clip,SIFT,0.1,4302,40.811896698173676,9.433523828781736,2.6007213355154173,0.06372458880676818,0.16918433458510834
is_p200_clip,SIFT,0.3,4500,3.5427005077470173,108.67415948881352,0.07631432011183169,0.02154128466263264,0.23996207464900232
is_p200_clip,SIFT,0.5,4500,1.4827912081931878,259.6454564018697,0.014492731737639738,0.009773953107868393,0.267961160574014
km20,DEEP,0.01,4266,0.8409847688748278,457.79663823769374,0.5068482441487064,0.6026842136830016,0.002586266829875968
km20,DEEP,0.05,4500,0.4604279059333416,836.1786830004572,0.033500585693711456,0.07275967694834183,0.012148180343962553
km20,DEEP,0.1,4500,0.4381024579262448,878.7898653260131,0.010886631773316694,0.02484951083097889,0.0
km20,DEEP,0.3,4500,0.3163984200577326,1216.8202354795255,0.0018477646897036442,0.005839993415158288,0.048628895158716046
km20,DEEP,0.5,4500,0.2952388053341907,1304.0291216603644,0.0006948834554495386,0.0023536318495225475,0.02624266880769227
km20,SIFT,0.01,4168,1.2204781211296025,315.4501447708597,0.8488642543469707,0.6955177972066489,0.0
km20,SIFT,0.05,4500,0.21144213829630285,1820.829107679961,0.029122226163088873,0.1377314209823146,0.0
km20,SIFT,0.1,4500,0.12421275123996027,3099.5207509431793,0.007988563219369076,0.0643135518666387,0.0207178738226564
km20,SIFT,0.3,4500,0.06636147860228428,5801.558496117469,0.0014295115012050105,0.02154128466263264,0.034043408464804366
km20,SIFT,0.5,4500,0.05994952938982325,6422.068762150379,0.0005859438890949106,0.009773953107868393,0.0
random20,DEEP,0.01,4283,0.9578959679850604,401.9225603484371,0.5789546805611965,0.6044024611347211,0.0
random20,DEEP,0.05,4500,0.40211309173114024,957.4420925778205,0.029257618651056708,0.07275967694834183,0.0625755467339367
random20,DEEP,0.1,4500,0.39064174945230423,985.5577406659319,0.009707256384047576,0.02484951083097889,0.0
random20,DEEP,0.3,4500,0.3877716794916925,992.8522900503572,0.002264584054816354,0.005839993415158288,0.0
random20,DEEP,0.5,4500,0.4165704656364673,924.2133846713506,0.0009804535154924274,0.0023536318495225475,0.0
random20,SIFT,0.01,4204,0.937665796968744,410.5940530673249,0.6503991099604747,0.6936363809611742,0.0
random20,SIFT,0.05,4500,0.4372681155765864,880.4666662977128,0.060225558908622225,0.1377314209823146,0.06076404276552998
random20,SIFT,0.1,4500,0.31077243570183816,1238.8486100143623,0.01998687916223181,0.0643135518666387,0.0
random20,SIFT,0.3,4500,0.13742571322461172,2801.513566611419,0.0029603264085366803,0.02154128466263264,0.0
random20,SIFT,0.5,4500,0.10815465432908232,3559.7173546369995,0.0010570985198101659,0.009773953107868393,0.017475318643256892
