dataset,sf,method,selectivity,median_qe,mean_qe,n_valid,paired_pct_vs_bern,ci_lo,ci_hi,ci_excludes_0,cohens_d
DEEP,1,hilbert,0.01,1.354618564523633,1.665688730015302,494,15.680327313123513,10.479417931658258,21.57314048322891,True,0.25427176001418156
DEEP,1,hilbert,0.05,1.149528595381632,1.1943464283473395,500,0.5727345101669903,-1.2215619834922629,2.347187233386203,False,0.028335306591132658
DEEP,1,hilbert,0.1,1.1047161645886776,1.1264925503701728,500,-0.4266444410126235,-1.5334432522525905,0.5752043322994336,False,-0.03373516273039879
DEEP,1,hilbert,0.3,1.0442759175096288,1.0535902541301942,500,-1.2115221836125876,-1.749679760988854,-0.6926200159727613,True,-0.20193005681086945
DEEP,1,hilbert,0.5,1.0320103535026293,1.0371140442055333,500,-0.7138141591236372,-1.076118013768169,-0.33417872157053446,True,-0.163023538334037
DEEP,1,hybrid,0.01,1.3854591429956642,1.5749931880693788,484,9.09639858893365,4.074241007758021,14.376187136574199,True,0.1606347505969019
DEEP,1,hybrid,0.05,1.1477439088625156,1.2030071094455288,500,1.3319404651719204,-0.6527407364393073,3.3473036670908134,False,0.05932145616376974
DEEP,1,hybrid,0.1,1.0935258137964354,1.1192385922893064,500,-1.0633350596343474,-2.178719198489043,0.03270110461608002,False,-0.08305957922371542
DEEP,1,hybrid,0.3,1.0463914585159042,1.057455153351388,500,-0.8421584198231202,-1.3964531105086821,-0.29296366945978214,True,-0.13099838108648035
DEEP,1,hybrid,0.5,1.0349631013414067,1.039273257512347,500,-0.5056998863155523,-0.9048259046347874,-0.0968150088647433,True,-0.11067681372189185
DEEP,1,minibatch_partial,0.01,1.3779432165294847,1.697427789471243,484,17.814404474107086,11.118586825255633,24.68772680837078,True,0.24419140984618606
DEEP,1,minibatch_partial,0.05,1.1386520337333943,1.1878628836983922,500,-0.17638298955461323,-1.9304638975337485,1.443863377193082,False,-0.0092486710487549
DEEP,1,minibatch_partial,0.1,1.0942477460876439,1.1161556326802111,500,-1.3599647038264788,-2.4008213452219134,-0.3190471623593156,True,-0.1120128848685388
DEEP,1,minibatch_partial,0.3,1.0429757447875752,1.0504766728455992,500,-1.5000397354398882,-2.0550802447810037,-0.9546526638017013,True,-0.24830239744277077
DEEP,1,minibatch_partial,0.5,1.0287837888101536,1.035972736257053,500,-0.8287339496432603,-1.2180301687952666,-0.4434039415797787,True,-0.18881664611245827
DEEP,1,hdbscan,0.01,1.4034093835298964,1.6124594814187105,493,13.335045236664271,7.2736552818557145,19.2541093624433,True,0.20566837116616782
DEEP,1,hdbscan,0.05,1.1488989523419915,1.1934932972393477,500,0.2804043152284928,-1.3311195056513077,2.1235576380083843,False,0.014505771016686419
DEEP,1,hdbscan,0.1,1.0900914104816857,1.1104772007438037,500,-1.8421817256068935,-2.851365687705761,-0.8358616596692127,True,-0.15198192688427598
DEEP,1,hdbscan,0.3,1.0481315963901672,1.0583468068268913,500,-0.7539236595230782,-1.302412734254326,-0.18418810119190257,True,-0.11759098009493787
DEEP,1,hdbscan,0.5,1.0331332751450013,1.039767249606903,500,-0.4698454903944458,-0.8435306141297184,-0.061097482104440264,True,-0.10814900318055662
SIFT,1,halton,0.01,1.582728256450483,39.28057049524714,460,4021.1795857391103,704.3012573649725,9127.679682076137,True,0.091301821087119
SIFT,1,halton,0.05,1.2237524255625232,1.3304348873014615,500,-21.807136371891378,-25.409613644495618,-17.848795385235324,True,-0.509009759590071
SIFT,1,halton,0.1,1.1398128361014765,1.1904692643153754,500,-26.85907598706217,-29.163469554220647,-24.591417252921744,True,-1.0542671774943964
SIFT,1,halton,0.3,1.0649666120958967,1.081934062283788,500,-24.724895794057584,-25.8667022215907,-23.489465969326485,True,-1.7822268970731359
SIFT,1,halton,0.5,1.0363854261653205,1.045363137056589,500,-18.022443763283803,-19.170992870215034,-16.739638257411375,True,-1.3659359087843144
SIFT,1,hammersley,0.01,1.5395767047610125,1.9782153760964196,436,6.186882434278008,-1.2491656681600714,14.704703210177236,False,0.08222561446773051
SIFT,1,hammersley,0.05,1.2399640904224776,1.3256116679729761,500,-22.748236213212074,-26.10102203436095,-19.209850479304777,True,-0.5838434443337661
