cell,method,selectivity,n_paired,mean_delta_pct,wilcoxon_stat,wilcoxon_p,significant_05
SSN_sf1,HDBSCAN,0.01,500,17.92005171366444,,,False
SSN_sf1,HDBSCAN,0.05,500,2.1984033629228126,61533.0,0.7354859414062307,False
SSN_sf1,HDBSCAN,0.1,500,0.7342312285211215,60049.0,0.4254806026407495,False
SSN_sf1,HDBSCAN,0.3,500,0.1434931464327256,61219.0,0.6635764002594411,False
SSN_sf1,HDBSCAN,0.5,500,0.12910493433926,62101.0,0.8712174095827121,False
SSN_sf1,MB_partial,0.01,500,20.64600460058367,,,False
SSN_sf1,MB_partial,0.05,500,2.4693396355525685,61591.0,0.7490491546944471,False
SSN_sf1,MB_partial,0.1,500,0.925552310851509,61552.0,0.7399202233691748,False
SSN_sf1,MB_partial,0.3,500,0.14295449005845665,61223.0,0.6644748949227269,False
SSN_sf1,MB_partial,0.5,500,0.15833322260340826,62292.0,0.9179457035834523,False
SSN_sf1,Hilbert,0.01,500,15.066434777873319,,,False
SSN_sf1,Hilbert,0.05,500,1.874775867443648,61283.0,0.6780095730808806,False
SSN_sf1,Hilbert,0.1,500,1.4604195854975874,59572.0,0.34490358341470384,False
SSN_sf1,Hilbert,0.3,500,-0.05714846097777479,59454.0,0.3265794284494764,False
SSN_sf1,Hilbert,0.5,500,0.16301186296276926,61519.0,0.7322241972785177,False
SSN_sf1,sparse_rp,0.01,500,16.14287615692469,,,False
SSN_sf1,sparse_rp,0.05,500,2.639313695857034,60963.0,0.6071256887842904,False
SSN_sf1,sparse_rp,0.1,500,1.1462510046753627,62055.0,0.860024052268623,False
SSN_sf1,sparse_rp,0.3,500,-0.1772815238911727,58170.0,0.16812178126400756,False
SSN_sf1,sparse_rp,0.5,500,-0.1281259234609538,57914.0,0.14498835569207844,False
SSN_sf1,Adaptive,0.01,500,12.761364703948752,,,False
SSN_sf1,Adaptive,0.05,500,1.8955486222448659,59002.5,0.8334231677153485,False
SSN_sf1,Adaptive,0.1,500,0.678447245132401,58258.5,0.8284910582088554,False
SSN_sf1,Adaptive,0.3,500,-0.003730484177248343,57777.0,0.29048527421283854,False
SSN_sf1,Adaptive,0.5,500,-0.03826603050347478,57509.0,0.49051252498865194,False
SSN_sf10,HDBSCAN,0.01,500,13.092439213156268,,,False
SSN_sf10,HDBSCAN,0.05,500,2.7632417274385315,58102.0,0.16172258512044202,False
SSN_sf10,HDBSCAN,0.1,500,0.6957370318057914,61987.0,0.8435293788800746,False
SSN_sf10,HDBSCAN,0.3,500,0.07709450271172828,59640.0,0.3557553923416146,False
SSN_sf10,HDBSCAN,0.5,500,0.0819675753932382,62340.0,0.9297401512953524,False
SSN_sf10,MB_partial,0.01,500,13.159894045445478,,,False
SSN_sf10,MB_partial,0.05,500,2.930570936355073,60512.0,0.5132995463911225,False
SSN_sf10,MB_partial,0.1,500,1.353467311387094,61022.0,0.6199455244057416,False
SSN_sf10,MB_partial,0.3,500,0.1946123129005707,61030.0,0.6216928538230773,False
SSN_sf10,MB_partial,0.5,500,0.1531556162178446,61380.0,0.7001104074077698,False
SSN_sf10,Hilbert,0.01,500,15.021629553621354,,,False
SSN_sf10,Hilbert,0.05,500,4.280038469186433,57167.0,0.0913024758242169,False
SSN_sf10,Hilbert,0.1,500,1.348137963000259,61590.0,0.7488146334346051,False
SSN_sf10,Hilbert,0.3,500,0.3056749988881436,62537.0,0.9782803009401728,False
SSN_sf10,Hilbert,0.5,500,0.16877470048366944,61089.0,0.6346448164415341,False
SSN_sf10,sparse_rp,0.01,500,12.757707121019559,,,False
SSN_sf10,sparse_rp,0.05,500,3.1034080196771296,58818.0,0.2388806269655278,False
SSN_sf10,sparse_rp,0.1,500,1.604980884303301,60409.0,0.4929816480475744,False
SSN_sf10,sparse_rp,0.3,500,-0.042164000341625776,58698.0,0.2243988064874365,False
SSN_sf10,sparse_rp,0.5,500,-0.10670239649562234,60413.0,0.4937625690265819,False
SSN_sf10,Adaptive,0.01,500,20.160632843786164,,,False
SSN_sf10,Adaptive,0.05,500,2.700443780078576,57674.0,0.7426102698835734,False
SSN_sf10,Adaptive,0.1,500,1.5218650704797199,56488.5,0.3091937387645536,False
SSN_sf10,Adaptive,0.3,500,0.41691819960824444,58378.0,0.625812875960859,False
SSN_sf10,Adaptive,0.5,500,0.43270837786116734,55381.5,0.11111285065919807,False
WIKI_sf1,HDBSCAN,0.01,500,10.227942022021109,,,False
WIKI_sf1,HDBSCAN,0.05,500,-6.493500159379836,39326.0,5.672967710068624e-13,True
WIKI_sf1,HDBSCAN,0.1,500,-8.770484991955772,28001.0,8.961437743040635e-27,True
WIKI_sf1,HDBSCAN,0.3,500,-8.175725440088868,14409.0,2.562418876519191e-50,True
WIKI_sf1,HDBSCAN,0.5,500,-6.646091495279874,9424.0,7.223648486112965e-61,True
WIKI_sf1,MB_partial,0.01,500,9.617159323320651,,,False
WIKI_sf1,MB_partial,0.05,500,-6.977966797727262,37058.0,2.57840972419047e-15,True
WIKI_sf1,MB_partial,0.1,500,-8.818266959563093,26981.0,2.82054384906858e-28,True
WIKI_sf1,MB_partial,0.3,500,-7.971836596376428,16643.0,6.349794733739904e-46,True
WIKI_sf1,MB_partial,0.5,500,-6.4674619150496255,10291.0,5.855019000863468e-59,True
WIKI_sf1,Hilbert,0.01,500,10.557449255035978,,,False
WIKI_sf1,Hilbert,0.05,500,-7.34889138666062,36166.0,2.7062711032101605e-16,True
WIKI_sf1,Hilbert,0.1,500,-8.4553844083923,29974.0,5.446381474893996e-24,True
WIKI_sf1,Hilbert,0.3,500,-8.614904541321277,13042.0,4.149619288601503e-53,True
