cell,method,selectivity,n_paired,mean_delta_pct,median_delta_pct,std_delta_pct
SSN_sf10,sparse_rp,0.01,500,12.757707121019559,0.41750342105262744,59.03818370244777
SSN_sf10,sparse_rp,0.05,500,3.1034080196771296,0.761668231188686,21.60675834086557
SSN_sf10,sparse_rp,0.1,500,1.604980884303301,0.22823366925895408,14.393277109676037
SSN_sf10,sparse_rp,0.3,500,-0.042164000341625776,-0.4184188258533887,6.53537566107448
SSN_sf10,sparse_rp,0.5,500,-0.10670239649562234,0.061719805911717496,4.11784148027376
SSN_sf10,Adaptive,0.01,500,20.160632843786164,0.0,71.8732514152296
SSN_sf10,Adaptive,0.05,500,2.700443780078576,0.0,22.43165248351673
SSN_sf10,Adaptive,0.1,500,1.5218650704797199,0.11958639784502512,13.979416275317059
SSN_sf10,Adaptive,0.3,500,0.41691819960824444,0.0,6.597501608052144
SSN_sf10,Adaptive,0.5,500,0.43270837786116734,0.012802373496401117,4.613454637464251
WIKI_sf1,HDBSCAN,0.01,500,10.227942022021109,-4.958350823302406,64.97781569681283
WIKI_sf1,HDBSCAN,0.05,500,-6.493500159379836,-6.895353603651665,25.543173942543763
WIKI_sf1,HDBSCAN,0.1,500,-8.770484991955772,-9.483397719301438,18.12889049377954
WIKI_sf1,HDBSCAN,0.3,500,-8.175725440088868,-8.166632998080907,10.038303017646573
WIKI_sf1,HDBSCAN,0.5,500,-6.646091495279874,-6.33688891433574,6.806912405763516
WIKI_sf1,MB_partial,0.01,500,9.617159323320651,-4.408244872315241,73.11134934016816
WIKI_sf1,MB_partial,0.05,500,-6.977966797727262,-7.9520135653643855,26.41061228643831
WIKI_sf1,MB_partial,0.1,500,-8.818266959563093,-7.2945794432305835,17.66622685974161
WIKI_sf1,MB_partial,0.3,500,-7.971836596376428,-8.062606425731905,10.335697215448544
WIKI_sf1,MB_partial,0.5,500,-6.4674619150496255,-6.121989978644702,6.801770658656505
WIKI_sf1,Hilbert,0.01,500,10.557449255035978,-1.1788806915397954,65.44733147888451
WIKI_sf1,Hilbert,0.05,500,-7.34889138666062,-8.092734250591096,24.981634948665274
WIKI_sf1,Hilbert,0.1,500,-8.4553844083923,-8.195155831042683,18.120411123093234
WIKI_sf1,Hilbert,0.3,500,-8.614904541321277,-7.910274654117211,9.7269266681925
WIKI_sf1,Hilbert,0.5,500,-6.902088893277448,-6.464110964450468,6.4911163306635835
WIKI_sf1,sparse_rp,0.01,500,15.345730838049857,0.29188694611381083,68.66029796035075
WIKI_sf1,sparse_rp,0.05,500,-6.364145943484493,-7.07580830465502,24.235180914874412
WIKI_sf1,sparse_rp,0.1,500,-8.408131268531207,-8.153478889060537,17.122792488566105
WIKI_sf1,sparse_rp,0.3,500,-7.803512236872838,-7.2514972677860845,10.010379154924626
WIKI_sf1,sparse_rp,0.5,500,-6.397112510566514,-6.211864606042936,6.842618436476641
WIKI_sf1,Adaptive,0.01,500,9.182658268378528,0.0,63.21404269978883
WIKI_sf1,Adaptive,0.05,500,-7.128659808633971,-7.142857142857142,23.754500441942483
WIKI_sf1,Adaptive,0.1,500,-8.155224087771769,-7.593877116223853,17.80381971990319
WIKI_sf1,Adaptive,0.3,500,-8.154491296755815,-7.42571050204449,9.875968891956083
WIKI_sf1,Adaptive,0.5,500,-6.4418289259725325,-6.31434009462287,6.957929463544771
WIKI_sf10,HDBSCAN,0.01,500,17.31510049096748,-0.6339835032894788,76.99372597327465
WIKI_sf10,HDBSCAN,0.05,500,-3.4285432658389725,-4.5507002029889545,20.780568876789147
WIKI_sf10,HDBSCAN,0.1,500,-3.3981144980487916,-2.929548453981779,13.666669270361465
WIKI_sf10,HDBSCAN,0.3,500,-1.496958570268701,-1.5352286712388252,7.077296117606193
WIKI_sf10,HDBSCAN,0.5,500,-0.7951978346635018,-0.5375025251093333,4.5370070965670655
WIKI_sf10,MB_partial,0.01,500,1696.6632297275999,1.226586717351871,35892.3602954208
WIKI_sf10,MB_partial,0.05,500,0.9328681221053312,-2.1373098292439545,25.169325123092605
WIKI_sf10,MB_partial,0.1,500,-1.5600192812184912,-2.2474115586074923,15.637239440691067
WIKI_sf10,MB_partial,0.3,500,-0.9226337304323838,-0.9180393245956289,7.663922213789846
WIKI_sf10,MB_partial,0.5,500,-0.3173272237057438,-0.22516494260763933,4.789676848710044
WIKI_sf10,Hilbert,0.01,500,11.480380270322291,-0.03457284149809218,62.9300085154854
WIKI_sf10,Hilbert,0.05,500,-2.0904060026715405,-2.724568415175157,20.209704607808764
WIKI_sf10,Hilbert,0.1,500,-3.5771457902454644,-4.030631103937086,13.666423244380624
WIKI_sf10,Hilbert,0.3,500,-1.8256852056316193,-1.8456754527079315,7.041459440252109
WIKI_sf10,Hilbert,0.5,500,-1.0537425200067638,-0.9214768475754656,4.368045167828048
WIKI_sf10,sparse_rp,0.01,500,13.851299840544614,-0.7413737839259964,66.36517198346701
WIKI_sf10,sparse_rp,0.05,500,-1.2444970883102084,-3.8461369053229957,24.68120805524553
WIKI_sf10,sparse_rp,0.1,500,-2.4625287762375083,-2.814610053250724,16.008463494176354
WIKI_sf10,sparse_rp,0.3,500,-0.993579199384436,-1.2807747519573376,7.381945486818383
WIKI_sf10,sparse_rp,0.5,500,-0.3976121668258421,-0.20805862386916352,4.752959418927773
WIKI_sf10,Adaptive,0.01,500,13.786461091907702,0.0,66.07634538573612
WIKI_sf10,Adaptive,0.05,500,-0.08660298935806329,-0.612354722898774,23.164709589281696
WIKI_sf10,Adaptive,0.1,500,-1.4911614309600723,-2.4099883855981443,15.491207830486658
WIKI_sf10,Adaptive,0.3,500,-1.1481980048483256,-1.1592646194115126,7.575418868021623
WIKI_sf10,Adaptive,0.5,500,-0.8221169412336218,-0.7792207792207636,4.596897209180504
YFCC_sf1,HDBSCAN,0.01,500,9.312923261142615,-3.3778333333333377,65.79763489652662
YFCC_sf1,HDBSCAN,0.05,500,-5.7081343557638595,-6.465330611327333,20.70304872691671
YFCC_sf1,HDBSCAN,0.1,500,-5.943450527070689,-6.066205540048591,14.202332170138101
YFCC_sf1,HDBSCAN,0.3,500,-6.672536484457766,-5.633211071171454,8.327475049167838
YFCC_sf1,HDBSCAN,0.5,500,-5.003945063928427,-4.3623528113490675,6.117913723524457
YFCC_sf1,MB_partial,0.01,500,8.834100243970862,-5.655191991989454,63.14239130354072
YFCC_sf1,MB_partial,0.05,500,-4.531896087307377,-4.278609785233286,21.431322521883796
YFCC_sf1,MB_partial,0.1,500,-5.87269755481148,-5.077342478268328,14.150489087457396
YFCC_sf1,MB_partial,0.3,500,-6.273631224841369,-5.952991528597035,8.56006167814943
YFCC_sf1,MB_partial,0.5,500,-5.027976506694713,-4.737112275139024,6.078965607671369
YFCC_sf1,Hilbert,0.01,500,3.8419808982654278,-2.1265475837223367,50.966836120347175
YFCC_sf1,Hilbert,0.05,500,-5.046828651771333,-5.3021254780871665,21.326194895437286
YFCC_sf1,Hilbert,0.1,500,-5.522218837362802,-5.672964456682202,14.180478067679056
YFCC_sf1,Hilbert,0.3,500,-5.85134654890186,-5.722081399754179,8.636264264775443
YFCC_sf1,Hilbert,0.5,500,-4.964572918617552,-4.422958684403273,6.188502914145786
YFCC_sf1,sparse_rp,0.01,500,11.76917183869314,-0.8699638925365213,62.843335338190684
YFCC_sf1,sparse_rp,0.05,500,-2.733610700957187,-3.836137693077786,23.218019802878917
YFCC_sf1,sparse_rp,0.1,500,-3.4061897700894628,-3.901098303691346,16.2649235855173
YFCC_sf1,sparse_rp,0.3,500,-5.490765279441184,-4.908996469745753,8.556001295759499
YFCC_sf1,sparse_rp,0.5,500,-4.36410259969876,-3.594741463010392,6.237856863851135
YFCC_sf1,Adaptive,0.01,500,7.829517218842128,0.0,58.10663159402499
YFCC_sf1,Adaptive,0.05,500,-3.961574008753089,-4.466436693246809,22.11120391686265
YFCC_sf1,Adaptive,0.1,500,-4.841028765411493,-4.3813284085843485,14.59282398024331
YFCC_sf1,Adaptive,0.3,500,-5.24162174557211,-5.22007563787486,8.979538286307973
YFCC_sf1,Adaptive,0.5,500,-4.157630052507069,-4.400297322305471,6.360496396937606
YFCC_sf10,HDBSCAN,0.01,500,12.387334838832983,-3.700716844054054,67.71235561189829
YFCC_sf10,HDBSCAN,0.05,500,-5.349971660459094,-5.9919040208549905,20.770943928314388
YFCC_sf10,HDBSCAN,0.1,500,-6.873617260006705,-6.677221352987699,14.510918269288899
