dataset,mode,selectivity,seed,query_id,true_card,est,q_error,sample_size_used_t1,sample_size_used_t2,table,D1_target,D2_target
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,781264,8316,8971.361179093183,1.0788072605932157,383,383,partsupp_deep_sift_1,1.0879476070404053,525.383056640625
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,771184,7963,8049.683343672667,1.010885764620453,383,383,partsupp_deep_sift_1,1.167130708694458,577.2371215820312
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,140785,7829,10552.938529814779,1.34792930512387,383,383,partsupp_deep_sift_1,1.3031423091888428,497.9326477050781
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,2505,8173,5562.789302538023,1.4692269571078431,383,383,partsupp_deep_sift_1,1.2243211269378662,458.19384765625
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,526089,8130,10209.354484658015,1.2557631592445284,383,383,partsupp_deep_sift_1,1.0811984539031982,578.9044799804688
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,608072,8111,10558.392244817267,1.301737423846291,383,383,partsupp_deep_sift_1,1.2620729207992554,571.7614135742188
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,224837,8017,8289.64680378215,1.0340085822355183,383,383,partsupp_deep_sift_1,1.182917833328247,477.940673828125
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,386133,8053,9533.093824349475,1.1837940921829722,383,383,partsupp_deep_sift_1,1.2392237186431885,566.1602172851562
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,487850,8174,10209.354484658019,1.2490034847881109,383,383,partsupp_deep_sift_1,1.168969750404358,561.3308715820312
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,340195,7866,7417.052403384029,1.060529112132353,383,383,partsupp_deep_sift_1,1.1419676542282104,483.9326477050781
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,122774,8105,7062.560928222293,1.1476007191119693,383,383,partsupp_deep_sift_1,1.2625014781951904,472.743896484375
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,690833,8069,9734.881279441539,1.2064544899543361,383,383,partsupp_deep_sift_1,1.0988819599151611,532.3489379882812
