dataset,mode,selectivity,seed,query_id,true_card,est,q_error,sample_size_used_t1,sample_size_used_t2,table_pair,D_deep_target,D_wiki_target
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,7834709,81715,63263.094028863794,1.2916693572198275,383,383,partsupp_deep_10__part_wiki_10,1.269679069519043,3.1237645149230957
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,7376316,80083,66589.86018038163,1.2026305473996723,383,383,partsupp_deep_10__part_wiki_10,1.1346229314804077,2.4507763385772705
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,5165847,80418,105093.08809794873,1.3068353863307807,383,383,partsupp_deep_10__part_wiki_10,1.2349876165390015,2.7488818168640137
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,1376518,80924,102529.84204677925,1.2669892991792207,383,383,partsupp_deep_10__part_wiki_10,1.1538054943084717,3.1735219955444336
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,378067,80548,83769.06243821963,1.039989353406908,383,383,partsupp_deep_10__part_wiki_10,1.1999801397323608,2.172001838684082
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,2548244,79304,57482.15612622624,1.3796281375711574,383,383,partsupp_deep_10__part_wiki_10,1.2704721689224243,2.0631446838378906
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,6059356,78681,82078.41078744827,1.04317955780237,383,383,partsupp_deep_10__part_wiki_10,1.0709707736968994,2.3732683658599854
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,2093515,78955,85896.01128919005,1.087910978268508,383,383,partsupp_deep_10__part_wiki_10,1.2240983247756958,2.5807039737701416
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,7666555,80522,91186.11484160366,1.1324372822533426,383,383,partsupp_deep_10__part_wiki_10,1.2897976636886597,2.6461260318756104
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,4888112,80096,130071.10280934494,1.6239400570483538,383,383,partsupp_deep_10__part_wiki_10,1.1825072765350342,2.9607274532318115
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,3745676,77673,91622.41204180273,1.179591518826397,383,383,partsupp_deep_10__part_wiki_10,1.1852964162826538,2.6797919273376465
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,1117872,80195,72643.48383314359,1.1039531113926426,383,383,partsupp_deep_10__part_wiki_10,1.280386209487915,2.5324575901031494
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,1782015,78266,70461.99783214828,1.1107547672213625,383,383,partsupp_deep_10__part_wiki_10,1.308508276939392,2.7080981731414795
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,5399003,82481,110383.19165036234,1.338286291998913,383,383,partsupp_deep_10__part_wiki_10,1.1544610261917114,2.719991445541382
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,7813502,79320,64244.762729311675,1.2346531706281834,383,383,partsupp_deep_10__part_wiki_10,1.2021015882492065,2.2867226600646973
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,7712554,77286,54973.44722508163,1.4058787269345239,383,383,partsupp_deep_10__part_wiki_10,1.1845875978469849,2.860471248626709
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,1407909,81047,94840.1038932708,1.1701864830687232,383,383,partsupp_deep_10__part_wiki_10,1.2321441173553467,2.739095449447632
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,25058,79217,77769.97593548255,1.0186064615182329,383,383,partsupp_deep_10__part_wiki_10,1.2523014545440674,2.641598701477051
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,5261130,79913,70243.84923204877,1.137651208947981,383,383,partsupp_deep_10__part_wiki_10,1.2228223085403442,2.7282302379608154
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,6080832,79771,98166.87004478864,1.230608492369265,383,383,partsupp_deep_10__part_wiki_10,1.2412508726119995,2.632584571838379
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,2248413,78777,85077.95403881681,1.0799846914558413,383,383,partsupp_deep_10__part_wiki_10,1.1413836479187012,2.2316887378692627
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,3861353,80456,68607.73473130228,1.172695765500795,383,383,partsupp_deep_10__part_wiki_10,1.2959778308868408,2.662858247756958
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,4878920,80826,55846.04162547976,1.447300428955078,383,383,partsupp_deep_10__part_wiki_10,1.2274802923202515,2.550009250640869
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,3401984,80357,56936.78462597741,1.4113371615181993,383,383,partsupp_deep_10__part_wiki_10,1.2167928218841553,2.7266523838043213
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,1227788,81975,86768.60568958818,1.0584764341517314,383,383,partsupp_deep_10__part_wiki_10,1.1407045125961304,2.4207191467285156
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,6908906,81894,102529.84204677925,1.2519823436000104,383,383,partsupp_deep_10__part_wiki_10,1.2414016723632812,2.548656702041626
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,6867890,78447,73734.22683364125,1.063915678901627,383,383,partsupp_deep_10__part_wiki_10,1.3219497203826904,2.763941526412964
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,1544377,78829,114909.7751024276,1.457709410273219,383,383,partsupp_deep_10__part_wiki_10,1.2852576971054077,2.6965267658233643
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,6309693,81666,87204.90288978723,1.0678238543553895,383,383,partsupp_deep_10__part_wiki_10,1.2117139101028442,2.567052125930786
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,2552747,80574,59336.41922707224,1.3579181394761028,383,383,partsupp_deep_10__part_wiki_10,1.2629334926605225,2.4946601390838623
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,481105,79845,69807.5520318497,1.1437874223632811,383,383,partsupp_deep_10__part_wiki_10,1.1562559604644775,2.3190207481384277
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,7176724,82456,91458.80059172808,1.1091830866368497,383,383,partsupp_deep_10__part_wiki_10,1.2092878818511963,2.610891103744507
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,5591179,81717,78260.81028570648,1.0441624575783974,383,383,partsupp_deep_10__part_wiki_10,1.2739864587783813,2.7371037006378174
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,5278949,79330,101548.17334633134,1.2800727763309132,383,383,partsupp_deep_10__part_wiki_10,1.1804161071777344,2.770251750946045
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,6922681,81710,78697.10748590555,1.0382846664934164,383,383,partsupp_deep_10__part_wiki_10,1.2243480682373047,2.653686285018921
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,3447240,81814,85296.10263891635,1.042561207604033,383,383,partsupp_deep_10__part_wiki_10,1.1817381381988525,2.9329960346221924
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,4147711,81245,53991.77852463375,1.5047661369949494,383,383,partsupp_deep_10__part_wiki_10,1.2463845014572144,2.345407009124756
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,3626284,78876,105093.08809794873,1.3323835906733192,383,383,partsupp_deep_10__part_wiki_10,1.2457784414291382,2.6771295070648193
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,1298658,80029,69807.5520318497,1.1464232403320311,383,383,partsupp_deep_10__part_wiki_10,1.15007746219635,2.6935274600982666
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,2109177,81760,80714.9820368262,1.0129470135135137,383,383,partsupp_deep_10__part_wiki_10,1.1113593578338623,2.0626368522644043
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,7938046,77700,77879.05023553233,1.0023043788356798,383,383,partsupp_deep_10__part_wiki_10,1.2188935279846191,2.4451584815979004
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,6347870,80937,108474.39139949143,1.3402324202712164,383,383,partsupp_deep_10__part_wiki_10,1.2269318103790283,2.1841859817504883
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,3511592,80811,74661.35838406424,1.0823671273739957,383,383,partsupp_deep_10__part_wiki_10,1.2054859399795532,2.7809839248657227
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,6110214,78749,51537.60677351404,1.5279910133597883,383,383,partsupp_deep_10__part_wiki_10,1.3537731170654297,2.549351692199707
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,1458649,81843,104435.82391634339,1.276050779130083,385,385,partsupp_deep_10__part_wiki_10,1.1585617065429688,2.7521116733551025
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,3590985,79766,56832.51813121943,1.4035274632003798,385,385,partsupp_deep_10__part_wiki_10,1.2515356540679932,2.681626081466675
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,2861019,79955,86355.20323832013,1.0800475672355716,385,385,partsupp_deep_10__part_wiki_10,1.2202587127685547,2.5906567573547363
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,7811320,78388,60448.642266824085,1.296770234375,385,385,partsupp_deep_10__part_wiki_10,1.1162461042404175,2.4001996517181396
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,1427886,78728,69461.96660482374,1.1333972222222224,385,385,partsupp_deep_10__part_wiki_10,1.2062091827392578,3.04740571975708
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,4288339,79196,67357.0585258897,1.1757639322916664,385,385,partsupp_deep_10__part_wiki_10,1.1372402906417847,2.728555679321289
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,3227404,79716,92615.95547309834,1.1618239183237786,385,385,partsupp_deep_10__part_wiki_10,1.2433892488479614,2.4409737586975098
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,5886013,81577,92292.12346095464,1.1313498101297503,385,385,partsupp_deep_10__part_wiki_10,1.243363618850708,2.386617422103882
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,2636413,76504,67896.77854612921,1.1267692170111285,385,385,partsupp_deep_10__part_wiki_10,1.0980408191680908,2.9915456771850586
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,6936640,82752,75560.80283353012,1.095171,385,385,partsupp_deep_10__part_wiki_10,1.329702615737915,3.214108943939209
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,5469472,80131,89863.38336987689,1.1214559080739899,385,385,partsupp_deep_10__part_wiki_10,1.141785740852356,2.6846120357513428
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,4444886,79490,96393.99561477485,1.2126556247927394,385,385,partsupp_deep_10__part_wiki_10,1.1260658502578735,2.7931673526763916
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,6631898,79933,98930.67970990049,1.2376700450364742,385,385,partsupp_deep_10__part_wiki_10,1.2197622060775757,2.4933252334594727
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,7640583,78485,56670.60212514758,1.3849332291666665,385,385,partsupp_deep_10__part_wiki_10,1.2964671850204468,2.686100482940674
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,7822107,78980,63147.242368021594,1.2507276175213675,385,385,partsupp_deep_10__part_wiki_10,1.2597941160202026,3.0149857997894287
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,6733700,82366,100495.86776859504,1.220113490622284,385,385,partsupp_deep_10__part_wiki_10,1.1525179147720337,2.5678486824035645
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,839131,79146,77719.68291448812,1.0183520703125,385,385,partsupp_deep_10__part_wiki_10,1.1870739459991455,2.6081724166870117
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,6952719,79448,75290.94282341035,1.0552132437275985,385,385,partsupp_deep_10__part_wiki_10,1.2008575201034546,2.804694890975952
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,3862714,81596,87434.64327879914,1.0715555085886457,385,385,partsupp_deep_10__part_wiki_10,1.1932599544525146,2.797197103500366
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,695062,80699,81173.89104402091,1.0058847203065826,385,385,partsupp_deep_10__part_wiki_10,1.1563990116119385,2.7706475257873535
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,6815544,77021,77072.0188902007,1.0006624023344375,385,385,partsupp_deep_10__part_wiki_10,1.2705234289169312,2.652454376220703
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,6963267,79706,86139.31523022433,1.0807130608765252,385,385,partsupp_deep_10__part_wiki_10,1.2207585573196411,2.685063362121582
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,3402371,78255,77935.57092258392,1.0040986301073405,385,385,partsupp_deep_10__part_wiki_10,1.2719320058822632,2.85098934173584
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,6909999,78043,99740.25974025973,1.2780167310362203,385,385,partsupp_deep_10__part_wiki_10,1.2934293746948242,2.8206779956817627
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,6366790,81810,80310.33901163771,1.018673324092742,385,385,partsupp_deep_10__part_wiki_10,1.275483250617981,3.098679304122925
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,481095,80746,76586.27087198515,1.054314292635659,385,385,partsupp_deep_10__part_wiki_10,1.2758615016937256,2.239798069000244
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,3528014,78342,97365.49165120593,1.2428262190294597,385,385,partsupp_deep_10__part_wiki_10,1.192535400390625,2.73050594329834
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,5369867,76434,69893.74262101536,1.0935742905405403,385,385,partsupp_deep_10__part_wiki_10,1.248127818107605,2.9118566513061523
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,7520880,81176,49114.521841794565,1.6527901923076924,385,385,partsupp_deep_10__part_wiki_10,1.2978402376174927,2.7340762615203857
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,6025740,81604,113719.0082644628,1.3935469862318366,385,385,partsupp_deep_10__part_wiki_10,1.1894699335098267,2.502586841583252
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,3454116,80211,69731.82661494351,1.15027819998065,385,385,partsupp_deep_10__part_wiki_10,1.2314070463180542,2.848135471343994
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,6288378,81250,80742.1150278293,1.0062902113970589,385,385,partsupp_deep_10__part_wiki_10,1.2452954053878784,2.8833417892456055
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,1370862,78577,90672.96340023613,1.1539377095108763,385,385,partsupp_deep_10__part_wiki_10,1.2117983102798462,2.9738197326660156
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,2964065,80961,58937.42621015347,1.3736772235576926,385,385,partsupp_deep_10__part_wiki_10,1.2284141778945923,2.7892730236053467
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,7031696,81411,80310.33901163771,1.0137050970262096,385,385,partsupp_deep_10__part_wiki_10,1.2324044704437256,2.507117748260498
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,4389879,80395,83710.57513914656,1.0412410614981846,385,385,partsupp_deep_10__part_wiki_10,1.2300347089767456,2.5788276195526123
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,332506,80366,97365.49165120593,1.2115259145808666,385,385,partsupp_deep_10__part_wiki_10,1.2145559787750244,2.8943839073181152
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,7799146,79734,63147.242368021594,1.2626679647435897,385,385,partsupp_deep_10__part_wiki_10,1.2312073707580566,1.9963270425796509
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,3041529,81824,79986.50699949403,1.0229725371120106,385,385,partsupp_deep_10__part_wiki_10,1.1483227014541626,2.931670904159546
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,737452,74993,81605.66706021251,1.0881771240010736,385,385,partsupp_deep_10__part_wiki_10,1.2798588275909424,2.3986403942108154
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,5167757,80637,116903.35638387586,1.4497483336914303,385,385,partsupp_deep_10__part_wiki_10,1.252101182937622,2.574997663497925
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,1813464,80166,53432.28200371057,1.5003289583333335,385,385,partsupp_deep_10__part_wiki_10,1.2436870336532593,3.049060821533203
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,6207689,79967,90672.96340023613,1.1338797679072132,385,385,partsupp_deep_10__part_wiki_10,1.1708049774169922,2.674319267272949
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,7385883,82290,76694.21487603305,1.0729622844827589,385,385,partsupp_deep_10__part_wiki_10,1.1777342557907104,3.0078787803649902
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,1110231,80866,46955.64176083657,1.722178570402299,385,385,partsupp_deep_10__part_wiki_10,1.2301665544509888,2.9319965839385986
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,4260736,78832,100495.86776859504,1.2748105815987802,385,385,partsupp_deep_10__part_wiki_10,1.2347526550292969,3.1932268142700195
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,7241835,80396,79338.84297520661,1.0133245833333333,385,385,partsupp_deep_10__part_wiki_10,1.2067705392837524,2.558413028717041
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,5886526,79825,55051.44206442908,1.4500074295343137,385,385,partsupp_deep_10__part_wiki_10,1.0852018594741821,2.2235827445983887
multi_join_deep_wiki,adaptive_sampling,0.01,0.2,7903428,80432,67357.0585258897,1.1941139022435896,385,385,partsupp_deep_10__part_wiki_10,1.1325520277023315,2.916757822036743
