dataset,mode,selectivity,seed,query_id,D_target,true_card,est,q_error
DEEP,bernoulli,0.01,0.2,6,0.901870608329773,791280,831168.8311688312,1.0504105135588302
DEEP,bernoulli,0.01,0.2,7,1.1188875436782837,798937,207792.2077922078,3.8448843124999996
DEEP,bernoulli,0.01,0.2,8,1.0355769395828247,813202,623376.6233766234,1.3045115416666666
DEEP,bernoulli,0.01,0.2,9,1.0558167695999146,838646,1246753.2467532468,1.4866263557606507
DEEP,bernoulli,0.01,0.2,10,0.9952056407928467,796178,207792.2077922078,3.8316066249999996
DEEP,bernoulli,0.01,0.2,11,0.7633945345878601,791044,831168.8311688312,1.0507238929425307
DEEP,bernoulli,0.01,0.2,12,0.876768171787262,782731,415584.4155844156,1.8834464687499999
DEEP,bernoulli,0.01,0.2,13,0.7345972061157227,792616,1246753.2467532468,1.572959979048173
DEEP,bernoulli,0.01,0.2,14,1.061136245727539,788490,1662337.6623376624,2.1082545908479022
DEEP,bernoulli,0.01,0.2,15,1.1323901414871216,822847,623376.6233766234,1.3199837291666667
DEEP,bernoulli,0.01,0.2,16,0.9538190960884094,817423,623376.6233766234,1.3112827291666667
DEEP,bernoulli,0.01,0.2,17,1.0373276472091675,788749,623376.6233766234,1.2652848541666666
DEEP,bernoulli,0.01,0.2,18,0.9355025887489319,831888,1662337.6623376624,1.9982709960206932
DEEP,bernoulli,0.01,0.2,19,1.1154453754425049,824224,1246753.2467532468,1.5126388539441302
DEEP,bernoulli,0.01,0.2,20,1.1202095746994019,783367,1038961.038961039,1.3262762395672003
DEEP,bernoulli,0.01,0.2,21,1.009710431098938,790772,207792.2077922078,3.80559025
DEEP,bernoulli,0.01,0.2,22,0.9100181460380554,837366,831168.8311688312,1.00745596875
DEEP,bernoulli,0.01,0.2,23,1.0361720323562622,794371,2285714.285714286,2.877388884682706
DEEP,bernoulli,0.01,0.2,24,1.1383733749389648,807147,207792.2077922078,3.8843949374999998
DEEP,bernoulli,0.01,0.2,25,0.7721071243286133,792429,1038961.038961039,1.3111093094284019
DEEP,bernoulli,0.01,0.2,26,1.1888949871063232,768789,831168.8311688312,1.0811403794393926
DEEP,bernoulli,0.01,0.2,27,1.080015778541565,798218,1246753.2467532468,1.5619207368829653
DEEP,bernoulli,0.01,0.2,28,0.9686189889907837,804119,623376.6233766234,1.2899408958333334
DEEP,bernoulli,0.01,0.2,29,0.9124690890312195,799777,831168.8311688312,1.039250730102055
DEEP,bernoulli,0.01,0.2,30,0.8650586605072021,800817,415584.4155844156,1.92696590625
DEEP,bernoulli,0.01,0.2,31,0.8256444931030273,817918,207792.2077922078,3.9362303749999996
DEEP,bernoulli,0.01,0.2,32,1.0781729221343994,784992,2285714.285714286,2.911767617649971
DEEP,bernoulli,0.01,0.2,33,1.1253472566604614,776306,1246753.2467532468,1.6060074851324693
DEEP,bernoulli,0.01,0.2,34,1.1668264865875244,798969,415584.4155844156,1.92251915625
DEEP,bernoulli,0.01,0.2,35,0.983702540397644,820308,1454545.4545454546,1.773169900263626
DEEP,bernoulli,0.01,0.2,36,1.1701616048812866,805182,415584.4155844156,1.9374691874999999
DEEP,bernoulli,0.01,0.2,37,0.9757549166679382,797947,1246753.2467532468,1.5624511988305574
DEEP,bernoulli,0.01,0.2,38,0.9957288503646851,800127,831168.8311688312,1.0387961300753896
DEEP,bernoulli,0.01,0.2,39,0.7510308623313904,781849,1246753.2467532468,1.5946215276264941
DEEP,bernoulli,0.01,0.2,40,0.9117763042449951,798878,1246753.2467532468,1.5606303424969103
DEEP,bernoulli,0.01,0.2,41,1.0346859693527222,792016,1038961.038961039,1.3117929927691347
DEEP,bernoulli,0.01,0.2,42,0.9742307662963867,838557,1454545.4545454546,1.7345814948124632
DEEP,bernoulli,0.01,0.2,43,0.9735805988311768,791742,2701298.7012987016,3.4118421168748174
DEEP,bernoulli,0.01,0.2,44,1.0766973495483398,820190,1038961.038961039,1.266732146162522
DEEP,bernoulli,0.01,0.2,45,1.0707948207855225,788180,1246753.2467532468,1.581812843199836
DEEP,bernoulli,0.01,0.2,46,0.8406428694725037,778708,0.0,
DEEP,bernoulli,0.01,0.2,47,0.8558659553527832,807606,831168.8311688312,1.029176146745853
DEEP,bernoulli,0.01,0.2,48,1.0778748989105225,793029,623376.6233766234,1.2721506875
DEEP,bernoulli,0.01,0.2,49,0.8775699734687805,790832,415584.4155844156,1.9029395
DEEP,bernoulli,0.01,0.2,50,1.0864336490631104,830988,1454545.4545454546,1.7503808172265478
DEEP,bernoulli,0.01,0.2,51,1.0437088012695312,814878,1246753.2467532468,1.529987613794024
DEEP,bernoulli,0.01,0.2,52,1.0957099199295044,812616,1454545.4545454546,1.7899542398198591
DEEP,bernoulli,0.01,0.2,53,1.1741876602172852,791128,1038961.038961039,1.3132654121217289
DEEP,bernoulli,0.01,0.2,54,0.8718985319137573,788179,1454545.4545454546,1.8454506584740962
DEEP,bernoulli,0.01,0.2,55,1.1019874811172485,808339,623376.6233766234,1.2967104791666666
DEEP,bernoulli,0.01,0.2,56,0.8947871923446655,798086,831168.8311688312,1.0414527145806733
DEEP,bernoulli,0.01,0.2,57,0.8886144757270813,781519,207792.2077922078,3.7610601874999996
DEEP,bernoulli,0.01,0.2,58,0.8731727600097656,806789,1454545.4545454546,1.8028821098768757
DEEP,bernoulli,0.01,0.2,59,1.1355830430984497,826942,831168.8311688312,1.005111399794461
DEEP,bernoulli,0.01,0.2,60,1.1273690462112427,812499,623376.6233766234,1.3033838125
DEEP,bernoulli,0.01,0.2,61,0.8497591614723206,792034,207792.2077922078,3.811663625
DEEP,bernoulli,0.01,0.2,62,1.061623215675354,817671,831168.8311688312,1.0165076554859243
DEEP,bernoulli,0.01,0.2,63,0.9138950705528259,773255,1038961.038961039,1.3436202015648642
DEEP,bernoulli,0.01,0.2,64,1.0238635540008545,808177,623376.6233766234,1.2964506041666666
DEEP,bernoulli,0.01,0.2,65,0.995049774646759,785852,831168.8311688312,1.0576658596896504
DEEP,bernoulli,0.01,0.2,66,1.0423569679260254,824086,1454545.4545454546,1.7650408507673405
DEEP,bernoulli,0.01,0.2,67,0.8531287908554077,773534,623376.6233766234,1.2408774583333333
DEEP,bernoulli,0.01,0.2,68,1.026185393333435,812325,1454545.4545454546,1.7905954569235891
DEEP,bernoulli,0.01,0.2,69,1.0778130292892456,807369,1038961.038961039,1.2868478217036312
DEEP,bernoulli,0.01,0.2,70,0.9392199516296387,815100,831168.8311688312,1.0197139383742255
DEEP,bernoulli,0.01,0.2,71,1.1126935482025146,804010,1246753.2467532468,1.550668830926539
DEEP,bernoulli,0.01,0.2,72,0.8116902709007263,793587,623376.6233766234,1.2730458125
DEEP,bernoulli,0.01,0.2,73,1.0847119092941284,818604,623376.6233766234,1.31317725
DEEP,bernoulli,0.01,0.2,74,1.084493637084961,771787,623376.6233766234,1.2380749791666668
DEEP,bernoulli,0.01,0.2,75,0.9825398325920105,787772,1038961.038961039,1.3188600749468615
DEEP,bernoulli,0.01,0.2,76,1.0988355875015259,825674,1038961.038961039,1.25831870564053
DEEP,bernoulli,0.01,0.2,77,0.9421959519386292,831425,623376.6233766234,1.3337442708333334
DEEP,bernoulli,0.01,0.2,78,0.9616003036499023,794671,831168.8311688312,1.045928228372284
DEEP,bernoulli,0.01,0.2,79,1.117599368095398,789751,623376.6233766234,1.2668922291666667
DEEP,bernoulli,0.01,0.2,80,1.0440267324447632,804273,207792.2077922078,3.8705638125
DEEP,bernoulli,0.01,0.2,81,1.1377819776535034,801816,623376.6233766234,1.2862465
DEEP,bernoulli,0.01,0.2,82,1.1230645179748535,775713,1038961.038961039,1.3393626753206909
DEEP,bernoulli,0.01,0.2,83,1.146628737449646,775564,831168.8311688312,1.0716959930693422
DEEP,bernoulli,0.01,0.2,84,0.9406066536903381,829084,1246753.2467532468,1.50377192992899
