cell,method,selectivity,n_paired,mean_delta_pct_h2h,median_delta_pct_h2h,wilcoxon_p,significant_05
WIKI_sf1,Hilbert,0.1,500,0.35606185943809,-0.45881597595510526,0.5389391153463357,False
WIKI_sf1,Hilbert,0.3,500,-0.27495504713112007,-0.24706425186564762,0.12790071535360176,False
WIKI_sf1,Hilbert,0.5,500,-0.3691017253216718,-0.41081535727391394,0.0355356977992048,True
WIKI_sf1,sparse_rp,0.01,483,18.30615322111993,0.7334358376864717,0.22659780038517774,False
WIKI_sf1,sparse_rp,0.05,500,2.9653347692805583,0.32043176122123684,0.4645582776227517,False
WIKI_sf1,sparse_rp,0.1,500,0.8222555346763837,-0.23361034370450828,0.8939241215563543,False
WIKI_sf1,sparse_rp,0.3,500,0.5996649423347292,0.7129624332570632,0.08825891958058822,False
WIKI_sf1,sparse_rp,0.5,500,0.15217751474771085,0.20043698321591868,0.6317811856952038,False
WIKI_sf10,HDBSCAN,0.01,468,15.298037721227002,1.0732570878978196,0.8630354754110189,False
WIKI_sf10,HDBSCAN,0.05,500,-1.1457883686056496,-2.539790739084632,0.000348809608068925,True
WIKI_sf10,HDBSCAN,0.1,500,-0.8897100568169927,-1.088959385138627,0.004738680070409031,True
WIKI_sf10,HDBSCAN,0.3,500,-0.09615855755822521,-0.26183385391309183,0.40110870273784116,False
WIKI_sf10,HDBSCAN,0.5,500,0.11679165542803085,-0.05387691944490906,0.5091219690184197,False
WIKI_sf10,MB_partial,0.01,457,976.2408625326311,-0.061405278592405,0.6882287730554425,False
WIKI_sf10,MB_partial,0.05,500,3.593215827398632,1.247684508855603,0.6293624188469131,False
WIKI_sf10,MB_partial,0.1,500,1.0142559011843213,-0.041651329999016634,0.6848164209215135,False
WIKI_sf10,MB_partial,0.3,500,0.4581510724925584,0.15073865937369643,0.41993172792385147,False
WIKI_sf10,MB_partial,0.5,500,0.602617839806522,0.37028964218309446,0.01977872666810008,True
WIKI_sf10,Hilbert,0.01,475,14.214532794971712,0.27631226973682743,0.8539473451703921,False
WIKI_sf10,Hilbert,0.05,500,0.2963103219235111,-0.6589401259883614,0.1930739801173046,False
WIKI_sf10,Hilbert,0.1,500,-1.0612178842297786,-0.7029310067808676,0.004510515738648137,True
