cell,method,selectivity,n_paired,mean_delta_pct_h2h,median_delta_pct_h2h,wilcoxon_p,significant_05
SIFT_sf1,MB_partial,0.01,470,18.484644948164643,0.5956851226051353,0.9139094220516958,False
SIFT_sf1,MB_partial,0.05,500,2.0137197518683,-0.6228801441377417,0.9015133342586283,False
SIFT_sf1,MB_partial,0.1,500,-0.2966337015841159,-0.9644867372814367,0.07998879096572246,False
SIFT_sf1,MB_partial,0.3,500,-1.1213980636995526,-1.0986416777098154,1.4074746352653033e-05,True
SIFT_sf1,MB_partial,0.5,500,-0.8394577904744506,-0.7392044965964086,4.343845364413139e-06,True
SIFT_sf1,Hilbert,0.01,478,7.785685910282529,-2.5019731085526233,0.009436011287112364,True
SIFT_sf1,Hilbert,0.05,500,1.3626979086110893,-0.04609470956999756,0.583758855484811,False
SIFT_sf1,Hilbert,0.1,500,-1.1365678814613802,-1.3533907493371324,0.002848704838223137,True
SIFT_sf1,Hilbert,0.3,500,-1.4541053559415704,-1.2522874071327554,8.368382890045975e-09,True
SIFT_sf1,Hilbert,0.5,500,-1.169493788203266,-0.8386093422079861,3.167600024287357e-11,True
SIFT_sf1,sparse_rp,0.01,477,15.897171327487065,0.0016535361132991669,0.766997145997067,False
SIFT_sf1,sparse_rp,0.05,500,2.701595427831375,0.8207029808934869,0.24851352489808487,False
SIFT_sf1,sparse_rp,0.1,500,-0.17297208463240105,-0.4702721475561453,0.10165110614168787,False
SIFT_sf1,sparse_rp,0.3,500,0.16922353761081133,0.06482091604053994,0.9211383604684158,False
SIFT_sf1,sparse_rp,0.5,500,-0.08475280326047975,0.001963004149947485,0.5350628213402648,False
SIFT_sf10,HDBSCAN,0.01,475,14.407576285373677,0.5685358347409025,0.4787754633779764,False
SIFT_sf10,HDBSCAN,0.05,500,0.9417145917655164,-0.16948114259370886,0.4004150050546138,False
SIFT_sf10,HDBSCAN,0.1,500,-1.5383405719217471,-2.123767348217654,0.000256301063234323,True
SIFT_sf10,HDBSCAN,0.3,500,-1.8531314281852698,-1.254112089243268,3.214466461712861e-11,True
SIFT_sf10,HDBSCAN,0.5,500,-1.2514762368845236,-0.9155458911583312,1.4528822717110638e-10,True
SIFT_sf10,MB_partial,0.01,467,17.411954948665574,0.18180927158789328,0.5752611137094761,False
SIFT_sf10,MB_partial,0.05,500,2.070716240149906,-0.6780415464760492,0.34616919589921413,False
SIFT_sf10,MB_partial,0.1,500,-1.182119910518887,-1.0793978956360242,0.004325926510651754,True
SIFT_sf10,MB_partial,0.3,500,-1.9673099499111282,-1.8401374568573148,1.0918616690603617e-12,True
SIFT_sf10,MB_partial,0.5,500,-1.108244758730712,-0.972950051523044,3.079108561142003e-08,True
SIFT_sf10,Hilbert,0.01,479,9.397622364465917,-0.6717097039473777,0.14965297459410676,False
SIFT_sf10,Hilbert,0.05,500,-0.08676716563646147,-1.6483218053801245,0.037931471582245614,True
SIFT_sf10,Hilbert,0.1,500,-1.9294557052799082,-1.0662243652655743,0.0001507447189636439,True
SIFT_sf10,Hilbert,0.3,500,-1.7878023051546954,-1.4817688885505995,8.976456344053213e-11,True
SIFT_sf10,Hilbert,0.5,500,-1.3582476879441745,-1.0057438522864932,6.857049568156446e-14,True
SIFT_sf10,sparse_rp,0.01,481,11.462664685328516,0.3096383654405909,0.6105140123112858,False
SIFT_sf10,sparse_rp,0.05,500,2.7617249089044877,0.08114032752928627,0.6721314633259059,False
SIFT_sf10,sparse_rp,0.1,500,0.10462093857755707,-0.4962324896072,0.23974530118324855,False
SIFT_sf10,sparse_rp,0.3,500,-0.024191906636829897,-0.4582575075473306,0.25581719599113995,False
SIFT_sf10,sparse_rp,0.5,500,-0.059284834766476766,-0.0385535317933321,0.7347865923057938,False
SSN_sf1,HDBSCAN,0.01,481,18.16090861198282,-0.6602335526315883,0.5854749072193881,False
SSN_sf1,HDBSCAN,0.05,500,2.6908858781329825,-0.4331666169700522,0.8532243002243299,False
SSN_sf1,HDBSCAN,0.1,500,0.7472546074679062,-0.0419443194811509,0.6816366649844511,False
SSN_sf1,HDBSCAN,0.3,500,0.3961537385547743,-0.5168314724420598,0.8112318036741306,False
SSN_sf1,HDBSCAN,0.5,500,0.254432522846424,0.23197198220094029,0.30743121526140804,False
SSN_sf1,MB_partial,0.01,480,19.102984200280495,-0.26826441975806253,0.32283756066685576,False
SSN_sf1,MB_partial,0.05,500,2.9753032665856183,0.4444521736260369,0.7918596174801632,False
SSN_sf1,MB_partial,0.1,500,0.9372145729727462,-0.07933227301559075,0.8102723285875224,False
SSN_sf1,MB_partial,0.3,500,0.38605349886368384,0.07821614282224418,0.6541716109242901,False
SSN_sf1,MB_partial,0.5,500,0.27292300182496804,0.06663344872797819,0.4144256090196069,False
SSN_sf1,Hilbert,0.01,478,15.348913130748716,-0.09795854536992964,0.6297811912164833,False
SSN_sf1,Hilbert,0.05,500,2.328979567445525,-0.2951571876433684,0.950908808630859,False
SSN_sf1,Hilbert,0.1,500,1.7170166628859997,0.3568329754747175,0.27113801528838355,False
SSN_sf1,Hilbert,0.3,500,0.2090302791237802,-0.0016521533644236056,0.8442556952858142,False
SSN_sf1,Hilbert,0.5,500,0.2928588674678806,0.10678746336366898,0.48192578135193775,False
SSN_sf1,sparse_rp,0.01,481,13.677148793118826,0.4842084703947567,0.275428528959228,False
SSN_sf1,sparse_rp,0.05,500,2.968777574002319,0.7339619556618955,0.36468834942569195,False
SSN_sf1,sparse_rp,0.1,500,1.289187436792552,-0.03644909883486653,0.7354859414062307,False
SSN_sf1,sparse_rp,0.3,500,0.0700327585175073,0.032632769539697265,0.8316854781046794,False
SSN_sf1,sparse_rp,0.5,500,0.009593740809701587,0.0349692220995534,0.6049646182672372,False
SSN_sf10,HDBSCAN,0.01,480,10.410389889949698,-0.44270250166290404,0.09752994694242255,False
