cell,dataset,sf,dim,type_label,single_multi,mode,method,sample_selection_method_raw,paradigm,K,alpha,sel,ensemble_strategy,n_queries,trials,qe_trim,qe_mean,qe_median,final_size,size_median,size_min,size_max,trial_qe_list,trial_size_list,eta_final,content_hash,stage_source,file_path
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,rsvd,rsvd,P4,,,0.001,simple_average,1000,10,1.5324308298240705,1.5370648032692178,1.5410116339316815,5721.4,4719.5,4093.0,8677.0,"[1.429925818724282, 1.5844158671880961, 1.5817572648023155, 1.55900806903518, 1.4009008078240248, 1.5234152924467699, 1.5346204750903578, 1.710300586275587, 1.5474027927730054, 1.498901058532558]","[8324, 4703, 4682, 4573, 8677, 4768, 4632, 4093, 4736, 8026]",0.08179069375972306,dc11fc6d23858304af42de5037760be4,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_rsvd.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,skilling_hilbert,skilling_hilbert,P2,,,0.001,simple_average,1000,10,1.5352514231624066,1.5397999608460706,1.5398549863192335,4491.9,4487.0,4081.0,4736.0,"[1.5070356379782492, 1.6193767687156424, 1.4983134868794195, 1.4966114544458102, 1.5561697173084925, 1.5641072989332914, 1.5583802172652623, 1.5479808931073562, 1.5182950542960723, 1.5317290795311105]","[4607, 4081, 4730, 4657, 4382, 4288, 4474, 4500, 4736, 4464]",0.08179069375972306,b2c53af70779c75bac9b79ca7b2f31a7,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_skilling_hilbert.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,sparse_rp,sparse_rp,P4,,,0.001,simple_average,1000,10,1.5023693262569124,1.5042421163170365,1.5090149312353243,5269.9,4589.0,4078.0,8323.0,"[1.5371636785478466, 1.4348266345198908, 1.519650018742136, 1.5989876396603313, 1.5045219681820619, 1.495440767055589, 1.4244789134547324, 1.5203503032624448, 1.4934933454567445, 1.5135078942885867]","[4534, 8323, 4666, 4078, 4581, 4502, 8203, 4597, 4652, 4563]",0.08179069375972306,487f4367302d9378cd4c353f88165adc,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_sparse_rp.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,zorder_morton,zorder_morton,P2,,,0.001,simple_average,1000,10,1.5196185630842116,1.5175584454830235,1.5180332203244986,4867.7,4548.0,4119.0,8004.0,"[1.528297138012667, 1.5172921012315777, 1.5006648748398987, 1.5187743394174198, 1.5436333773342388, 1.4263661335235662, 1.5147482045455471, 1.5922698166329767, 1.4950516730254255, 1.538486796266917]","[4552, 4691, 4737, 4508, 4544, 8004, 4493, 4119, 4665, 4364]",0.08179069375972306,b110482fe1a75a8cc75d01caebad5b0f,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_zorder_morton.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,chao_weighted,chao_weighted,P3,10.0,,0.01,simple_average,1000,10,1.7990114833157898,1.8031293438846832,1.795719459641202,640.3,603.0,512.0,860.0,"[1.8072592951303181, 1.7867295541864239, 1.7801586072846796, 1.8790173749089882, 1.859583188572202, 1.760184197411526, 1.8053322323962724, 1.7709877885676464, 1.777331835292795, 1.8047093650959805]","[552, 567, 781, 598, 551, 751, 623, 860, 608, 512]",0.08179069375972306,4f75a97cfb8cbe4fa2eecf9ee99c4021,REPORT_v11,experiments/results/raw/Type1_small_single_sf1/A5-scale-sf1_K_granularity/_run_5_14_A5_scale_DEEP/sf_axis/K10/A5-scale-sf1_CaseB_chao_weighted.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,hilbert_real,hilbert_real,P2,10.0,,0.01,simple_average,1000,10,1.7257981261105941,1.730917443576817,1.7152316642294236,883.8,601.0,401.0,3536.0,"[1.796858421781975, 1.8249735205107833, 1.703473037896075, 1.732082659471255, 1.6863841442254963, 1.7049439586170425, 1.6778159063726323, 1.6983716320407785, 1.7587517850103263, 1.7255193698418048]","[427, 447, 855, 501, 716, 461, 3536, 793, 401, 701]",0.08179069375972306,a7b4feb925bb1d4cdc86989aeef69283,REPORT_v11,experiments/results/raw/Type1_small_single_sf1/A5-scale-sf1_K_granularity/_run_5_14_A5_scale_DEEP/sf_axis/K10/A5-scale-sf1_CaseB_hilbert_real.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,hyperloglog,hyperloglog,P9,10.0,,0.01,simple_average,1000,10,1.7310758298890239,1.732368050259381,1.7353641573956433,660.0,640.5,394.0,1027.0,"[1.7584092788726593, 1.7299979193485926, 1.7407303954426938, 1.7429470495948085, 1.8571102998003077, 1.7024400983621377, 1.689433522045247, 1.6530339874299647, 1.61796356368131, 1.8316143880160887]","[566, 635, 638, 643, 713, 565, 684, 735, 1027, 394]",0.08179069375972306,20d28958c0154f97b19119943a056447,REPORT_v11,experiments/results/raw/Type1_small_single_sf1/A5-scale-sf1_K_granularity/_run_5_14_A5_scale_DEEP/sf_axis/K10/A5-scale-sf1_CaseB_hyperloglog.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,sparse_rp,sparse_rp,P4,10.0,,0.01,simple_average,1000,10,2.871768794588317,2.8647309701088313,2.883497524463598,770.7,675.5,483.0,1426.0,"[2.8175736923543826, 2.848360512421575, 2.9168504153327786, 2.915543406221688, 2.904085114820161, 2.7563089290490033, 2.9100608658878504, 2.8115317160736812, 2.876510944763492, 2.8904841041637046]","[682, 535, 725, 609, 611, 1426, 1063, 669, 483, 904]",0.08179069375972306,d13c7d3b8180aa510939d8709aea5924,REPORT_v11,experiments/results/raw/Type1_small_single_sf1/A5-scale-sf1_K_granularity/_run_5_14_A5_scale_DEEP/sf_axis/K10/A5-scale-sf1_CaseB_sparse_rp.json
A5-scale-sf1,DEEP,1,96,Type 1,single,B1,_baseline_b1,_baseline_b1,Pother,,,0.01,,1000,10,1.6182154364317665,1.6174775113617172,1.6131893632349352,459.5,451.0,345.0,594.0,"[1.6573384827399908, 1.6522534447750763, 1.6072546855591687, 1.6053736204277311, 1.6191240409107017, 1.5934229453944748, 1.6196506892634208, 1.5949194186155187, 1.6537246465080404, 1.571713139423047]","[345, 380, 594, 532, 403, 457, 496, 445, 387, 556]",0.08179069375972306,0977c47572f9e14ba004b127ef5aec0b,REPORT_v11,experiments/results/raw/Type1_small_single_sf1/A5-scale-sf1_RQ1_baseline/A5_scale_sf1_DEEP_B1_paper_baseline.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,chao_weighted,chao_weighted,P3,,,0.01,simple_average,100,10,1.3898881566746253,1.3975341294195869,1.3896238418276958,381.8,381.5,379.0,387.0,"[1.3877078461089918, 1.3744593013941397, 1.3915398375463999, 1.4313786531031958, 1.3943886069160307, 1.3779426158728585, 1.5132142427288002, 1.3649090318273744, 1.3430217980700687, 1.3967793606280106]","[380, 387, 381, 379, 384, 382, 381, 382, 379, 383]",0.09801000000000001,fb6c1e483762235e503f89c596f36ccb,REPORT_v11,experiments/results/raw/Type1_small_single_sf1/A5-scale-sf1_RQ3_CaseB/A5_sf1_CaseB_chao_weighted.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,cum_sqrtf,cum_sqrtf,P5,,,0.01,simple_average,100,10,1.4099763344410325,1.4140815670842164,1.4130115119865163,384.0,383.0,379.0,394.0,"[1.3547948385943116, 1.4151876482924899, 1.4357547619719508, 1.4108353756805427, 1.510466081730577, 1.3834117870693843, 1.386711228605831, 1.454606511397212, 1.3505389135833263, 1.4385085239165378]","[381, 379, 387, 381, 394, 380, 385, 382, 387, 384]",0.09801000000000001,a911c215c4b4fcf13b60d0d02ca1bb4a,REPORT_v11,experiments/results/raw/Type1_small_single_sf1/A5-scale-sf1_paper_main/CaseB/A5-scale-sf1_CaseB_cum_sqrtf.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,faiss_ivf,faiss_ivf,P2,,,0.01,simple_average,1000,10,1.4635131894268456,1.459552613366378,1.4736024814941255,793.3,541.0,362.0,3333.0,"[1.408170783986656, 1.4920762441658035, 1.501899931162323, 1.5215927324962113, 1.5011626481750222, 1.3658278857528066, 1.4139890267292183, 1.4639423101356062, 1.443601918207492, 1.483262652852645]","[621, 620, 551, 369, 362, 3333, 531, 416, 650, 480]",0.08179069375972306,a0da6db378bb4424e4e049d38e8c4904,REPORT_v11,experiments/results/raw/Type1_small_single_sf1/A5-scale-sf1_paper_main/CaseB/A5-scale-sf1_CaseB_faiss_ivf.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,gmm,gmm,P1,,,0.01,simple_average,1000,10,1.6085124175827339,1.575099048313378,1.627758049725502,804.0,407.0,282.0,4324.0,"[1.5308492973600059, 1.6307904182017496, 1.643020473101073, 1.6549234595837965, 1.5833797325806682, 1.66525406264195, 1.5360705662853384, 1.6643397122999857, 1.217637079829957, 1.6247256812492545]","[696, 492, 342, 282, 381, 308, 439, 343, 4324, 433]",0.08179069375972306,6ed95ff6e0a2148d5e9dd1dedea9b2d1,REPORT_v11,experiments/results/raw/Type1_small_single_sf1/A5-scale-sf1_paper_main/CaseB/A5-scale-sf1_CaseB_gmm.json
