trial,query,q_idx,threshold,true_card,wall_ms
1,q07,1,1.08,996,70.19567489624023
1,q12,1,1.08,996,70.2207088470459
1,q19,1,1.2,5556,70.83272933959961
1,q20,1,1.08,996,70.88041305541992
1,q42,1,1.2,5556,71.38776779174805
1,q72,1,1.08,996,70.80817222595215
1,q98,1,1.3,19951,72.51167297363281
1,q07,2,1.08,2500,70.77503204345703
1,q12,2,1.08,2500,71.53606414794922
1,q19,2,1.2,10812,72.92604446411133
1,q20,2,1.08,2500,72.0369815826416
1,q42,2,1.2,10812,73.0597972869873
1,q72,2,1.08,2500,72.63684272766113
1,q98,2,1.3,32334,76.8744945526123
1,q07,3,1.08,5258,55.98020553588867
1,q12,3,1.08,5258,40.5886173248291
1,q19,3,1.2,13020,37.15252876281738
1,q20,3,1.08,5258,36.54074668884277
1,q42,3,1.2,13020,36.94725036621094
1,q72,3,1.08,5258,36.644697189331055
1,q98,3,1.3,29494,38.527488708496094
1,q07,4,1.08,6110,37.12582588195801
1,q12,4,1.08,6110,44.68894004821777
1,q19,4,1.2,15015,53.83181571960449
1,q20,4,1.08,6110,61.2940788269043
1,q42,4,1.2,15015,76.40504837036133
1,q72,4,1.08,6110,75.97088813781738
1,q98,4,1.3,32393,78.83024215698242
1,q07,5,1.08,1044,75.66308975219727
1,q12,5,1.08,1044,76.25746726989746
1,q19,5,1.2,3489,71.71201705932617
1,q20,5,1.08,1044,68.94540786743164
1,q42,5,1.2,3489,80.00731468200684
1,q72,5,1.08,1044,78.34291458129883
1,q98,5,1.3,11402,78.94253730773926
1,q07,6,1.08,1619,77.7890682220459
1,q12,6,1.08,1619,78.02295684814453
1,q19,6,1.2,10117,78.89294624328613
1,q20,6,1.08,1619,78.15361022949219
1,q42,6,1.2,10117,78.93633842468262
1,q72,6,1.08,1619,78.43327522277832
1,q98,6,1.3,28850,87.49008178710938
1,q07,7,1.08,795,78.73225212097168
1,q12,7,1.08,795,78.82404327392578
1,q19,7,1.2,7736,78.25016975402832
1,q20,7,1.08,795,51.13339424133301
1,q42,7,1.2,7736,40.47513008117676
1,q72,7,1.08,795,39.424896240234375
1,q98,7,1.3,32279,41.54348373413086
1,q07,8,1.08,1170,40.01927375793457
1,q12,8,1.08,1170,39.93368148803711
1,q19,8,1.2,5188,40.6191349029541
1,q20,8,1.08,1170,48.05278778076172
1,q42,8,1.2,5188,55.52220344543457
1,q72,8,1.08,1170,67.8706169128418
1,q98,8,1.3,13809,80.90090751647949
1,q07,9,1.08,6535,80.17969131469727
1,q12,9,1.08,6535,80.29317855834961
1,q19,9,1.2,14522,80.93023300170898
1,q20,9,1.08,6535,79.95033264160156
1,q42,9,1.2,14522,81.09426498413086
1,q72,9,1.08,6535,79.93149757385254
1,q98,9,1.3,28099,82.61847496032715
1,q07,10,1.08,404,79.132080078125
1,q12,10,1.08,404,79.03623580932617
1,q19,10,1.2,5747,79.9410343170166
1,q20,10,1.08,404,78.80473136901855
1,q42,10,1.2,5747,79.80680465698242
1,q72,10,1.08,404,78.76873016357422
1,q98,10,1.3,28847,81.6953182220459
1,q07,11,1.08,3040,78.83930206298828
1,q12,11,1.08,3040,78.5069465637207
1,q19,11,1.2,4308,78.4766674041748
1,q20,11,1.08,3040,78.02224159240723
1,q42,11,1.2,4308,44.59643363952637
1,q72,11,1.08,3040,35.361289978027344
1,q98,11,1.3,9705,33.93816947937012
1,q07,12,1.08,3183,33.50639343261719
1,q12,12,1.08,3183,33.40339660644531
1,q19,12,1.2,6469,33.52975845336914
1,q20,12,1.08,3183,33.25033187866211
1,q42,12,1.2,6469,33.32948684692383
1,q72,12,1.08,3183,33.37836265563965
1,q98,12,1.3,17436,34.094810485839844
1,q07,13,1.08,10443,33.544301986694336
1,q12,13,1.08,10443,33.58650207519531
1,q19,13,1.2,19511,34.06119346618652
1,q20,13,1.08,10443,39.06440734863281
1,q42,13,1.2,19511,39.54792022705078
1,q72,13,1.08,10443,38.912296295166016
1,q98,13,1.3,33554,40.222883224487305
1,q07,14,1.08,1184,38.36822509765625
1,q12,14,1.08,1184,38.50197792053223
1,q19,14,1.2,3407,38.495779037475586
1,q20,14,1.08,1184,38.35797309875488
1,q42,14,1.2,3407,38.4368896484375
1,q72,14,1.08,1184,38.285255432128906
1,q98,14,1.3,10794,38.81120681762695
1,q07,15,1.08,206,38.13958168029785
1,q12,15,1.08,206,37.96887397766113
1,q19,15,1.2,578,38.18511962890625
1,q20,15,1.08,206,38.03277015686035
1,q42,15,1.2,578,37.83297538757324
1,q72,15,1.08,206,37.7810001373291
1,q98,15,1.3,2364,37.89806365966797
1,q07,16,1.08,1377,37.91046142578125
1,q12,16,1.08,1377,37.72854804992676
1,q19,16,1.2,11253,38.45930099487305
1,q20,16,1.08,1377,37.67132759094238
1,q42,16,1.2,11253,38.25807571411133
1,q72,16,1.08,1377,37.88304328918457
1,q98,16,1.3,34220,39.87264633178711
1,q07,17,1.08,1780,37.91952133178711
1,q12,17,1.08,1780,37.94240951538086
