cell,anchor,variant,n_pairs,pairing_valid,anchor_n_timeout,variant_n_timeout,median_diff_ms,anchor_med_ms,variant_med_ms,w_stat,p_value,p_holm,holm_rank,ci_lo_ms,ci_hi_ms,hedges_g,rank_biserial
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,CaseB:pca1d,15,True,0,0,3356.3543629134074,7793.330268934369,4439.058360061608,0.0,6.103515625e-05,0.02471923828125,22,2746.0218702305187,3527.999343116923,3.615736672290354,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,CaseB:rabitq_strat,15,True,0,0,3352.129057981074,7793.330268934369,4158.233072957955,0.0,6.103515625e-05,0.02471923828125,30,2930.2054804062936,3934.602536396123,3.1304802212262253,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,CaseB:rsvd,15,True,0,0,3532.916509080678,7793.330268934369,4002.9949320014566,0.0,6.103515625e-05,0.02471923828125,27,3044.4547079643235,3949.846043131741,3.494250619073607,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,CaseB:skilling_hilbert,15,True,0,0,3559.5301939174533,7793.330268934369,4165.424966951832,0.0,6.103515625e-05,0.02471923828125,19,3064.4095926826894,3840.078250694593,4.102751858445475,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,CaseB:sparse_rp,15,True,0,0,3612.6381759531796,7793.330268934369,4120.609328034334,0.0,6.103515625e-05,0.02471923828125,28,2831.3713136148485,3809.816765946452,2.991586186540945,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,CaseB:zorder_morton,15,True,0,0,3226.95908206515,7793.330268934369,4414.122196030803,0.0,6.103515625e-05,0.02471923828125,23,2837.133423949126,3540.5655711305244,4.111755573775022,1.0
tpc_h/q10 SIFT sf10 sel0.01 qid0,baseline,oracle,15,True,0,0,3168.051111046225,7793.330268934369,4695.3046979615465,0.0,6.103515625e-05,0.02471923828125,17,2652.694828113308,3527.520248663107,3.2319324644387613,1.0
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,CaseB:chao_weighted,15,True,0,0,-456.93636895157397,7574.699965072796,7649.986687931232,47.0,0.48870849609375,1.0,175,-1052.4135752767324,470.49710770564434,-0.1913937534993266,-0.21666666666666667
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,CaseB:cum_sqrtf,15,True,0,0,327.4379801005125,7574.699965072796,7247.261984972283,56.0,0.846923828125,1.0,312,-654.2414410823645,744.2061032335421,0.022168661744674748,0.06666666666666667
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,CaseB:hilbert_real,15,True,0,0,446.66077697183937,7574.699965072796,6993.455095100217,41.0,0.30279541015625,1.0,93,-55.04047490695181,1036.365332128285,0.38099927904277864,0.31666666666666665
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,CaseB:hyperloglog,15,True,0,0,-38.11232594307512,7574.699965072796,7143.230380024761,54.0,0.76153564453125,1.0,283,-622.0375574760449,726.2462301063347,0.006220588668292729,-0.1
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,CaseB:ica_fastica,15,True,0,0,-110.77373207081109,7574.699965072796,7211.240755044855,56.0,0.846923828125,1.0,311,-708.6360939438844,358.7207469074443,-0.11722795465052817,-0.06666666666666667
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,CaseB:lavallee_hidiroglou,15,True,0,0,571.5658089611679,7574.699965072796,7107.1604220196605,40.0,0.27685546875,1.0,82,-311.6095802281052,1039.6667901738927,0.23914468755747567,0.3333333333333333
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,CaseB:mhist2,15,True,0,0,279.93609895929694,7574.699965072796,7112.978961085901,39.0,0.25238037109375,1.0,74,-112.00489255871314,756.1420082884915,0.3259998464824219,0.35
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,CaseB:pca1d,15,True,0,0,324.0078800590709,7574.699965072796,6914.659639936872,38.0,0.22930908203125,1.0,64,-154.83190005703364,1260.12169269806,0.3300945749839976,0.36666666666666664
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,CaseB:rabitq_strat,15,True,0,0,-179.14592090528458,7574.699965072796,7359.896430047229,52.0,0.67877197265625,1.0,237,-690.3521591776127,533.2580973570771,-0.07276871485562292,-0.13333333333333333
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,CaseB:rsvd,15,True,0,0,-767.981146927923,7574.699965072796,7827.344925026409,39.0,0.25238037109375,1.0,73,-1531.1476997185189,266.1131897471689,-0.3090319635127236,-0.35
