cell,condition,raw_label,exec_ms_trimmed,exec_ms_median,plan_short,recovers_oracle,q_error,injected_card,true_card,injection_fired
tpc_h/q12 DEEP sf10 sel0.001 qid0,sparse_rp,CaseB:sparse_rp,985.5561967616758,984.0933510567993,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.4892481519514145,5105.260657894737,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,pca2d_equi_depth_grid,CaseB:mhist2,965.9561244412683,982.0236759260297,Gather > Sort > NL > NL > Seq > IS > IOS,True,2.1994480711036677,3456.7763157894733,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,rabitq_1bit_bucket,CaseB:rabitq_strat,986.5654294576066,987.7141650067642,Gather > Sort > NL > NL > Seq > IS > IOS,True,5.717525573258554,1329.771052631579,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,baseline,baseline,5364.983943058178,5983.892088988796,Gather > Sort > NL > HJ > Seq > Hash > Seq > IOS,False,,,8013.0,False
tpc_h/q12 DEEP sf10 sel0.001 qid1,B1,B1,899.2288649046363,986.8299650261179,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.9281281249999997,4155.844155844156,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,oracle,oracle,901.6655968376793,982.3375639971346,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.0,8013.0,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,pca2d_hilbert_xy2d,CaseB:hilbert_real,896.1258508497849,986.843309015967,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.5647436707991327,5120.966551606289,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,pca4_skilling_hilbert_approx,CaseB:skilling_hilbert,879.0728790112413,988.3007849566638,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.307059761400379,6130.553656869447,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,chao_weighted,CaseB:chao_weighted,889.5604006247595,968.2004860369489,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.9155259803921567,4183.185235816815,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,ica_fastica,CaseB:ica_fastica,887.2133462080875,984.1155540198088,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.0915279883830995,7341.085235816816,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,pca1d,CaseB:pca1d,876.3013368544097,986.7808140115812,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.0994109537653567,7288.448393711553,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,pca2d_zorder_morton,CaseB:zorder_morton,855.2603580845663,816.9570739846677,Gather > Sort > NL > NL > Seq > IS > IOS,True,2.559621893607304,3130.5404989747094,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,md5_prefix_hash_bucket,CaseB:hyperloglog,941.6562070926794,987.6000710064545,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.7018288104677208,4708.464183185237,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,cum_sqrtf,CaseB:cum_sqrtf,851.5876333784455,863.6227879906073,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.5038869653448967,5328.19299897471,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,takeall_cumsqrtf,CaseB:lavallee_hidiroglou,888.4614986152603,969.3328589200974,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.3834182154167602,5792.174709501025,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,rsvd,CaseB:rsvd,918.9277640812529,993.1558939861134,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.0057284748641793,7967.359183185235,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,sparse_rp,CaseB:sparse_rp,913.4751567796159,983.6885470431298,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.3102417090682867,10498.966814764182,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,pca2d_equi_depth_grid,CaseB:mhist2,876.4906795964075,975.855465978384,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.8402294156278782,4354.3483937115525,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid1,rabitq_1bit_bucket,CaseB:rabitq_strat,891.2099721716144,926.8725999863818,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.1546707644558638,6939.64049897471,8013.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,baseline,baseline,5313.890977529809,5988.688534940593,Gather > Sort > NL > HJ > Seq > Hash > Seq > IOS,False,,,8090.0,False
tpc_h/q12 DEEP sf10 sel0.001 qid2,B1,B1,830.220381075588,737.8685810836032,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.2842534474178482,10389.610389610392,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,oracle,oracle,867.1943497342559,981.1476789182052,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.0,8090.0,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,pca2d_hilbert_xy2d,CaseB:hilbert_real,827.9019857022481,732.6951150316745,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.1625177197404117,9404.768352699932,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,pca4_skilling_hilbert_approx,CaseB:skilling_hilbert,858.2648144802079,924.3537379661575,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.2927024832561234,10457.963089542038,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,chao_weighted,CaseB:chao_weighted,864.2802035991245,922.378052957356,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.1495758161557397,9300.068352699935,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,ica_fastica,CaseB:ica_fastica,864.3262731448675,904.0157810086384,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.2927024832561234,10457.963089542038,8090.0,True
