cell,method,method_raw,B1_plan,CaseB_plan,plan_same,B1_ms,CaseB_ms,delta_pct,B1_recovers_oracle,CaseB_recovers_oracle,true_card,CaseB_injected_card,q_error,injection_fired,p_holm,hedges_g,cliffs_delta
tpc_h/q10 DEEP sf10 sel0.001 qid2,chao_weighted,chao_weighted,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1060.2,1045.9,-1.35,True,True,8090.0,9300.1,1.15,True,1.0,0.10213630153259,0.0666666666666666
tpc_h/q10 DEEP sf10 sel0.001 qid2,cum_sqrtf,cum_sqrtf,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1060.2,1054.7,-0.52,True,True,8090.0,7425.4,1.09,True,1.0,0.2392983174656507,-0.0666666666666666
tpc_h/q10 DEEP sf10 sel0.001 qid2,ica_fastica,ica_fastica,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1060.2,1069.2,0.85,True,True,8090.0,10458.0,1.293,True,1.0,-0.0720115201823681,-0.2
tpc_h/q10 DEEP sf10 sel0.001 qid2,md5_prefix_hash_bucket,hyperloglog,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1060.2,1054.8,-0.51,True,True,8090.0,9802.2,1.212,True,1.0,0.0665626529199254,-0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.001 qid2,pca1d,pca1d,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1060.2,1065.1,0.47,True,True,8090.0,7300.1,1.108,True,1.0,-0.3213363591976084,-0.0666666666666666
tpc_h/q10 DEEP sf10 sel0.001 qid2,pca2d_equi_depth_grid,mhist2,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1060.2,1063.8,0.34,True,True,8090.0,6692.0,1.209,True,1.0,-0.0832690023918909,0.0666666666666666
tpc_h/q10 DEEP sf10 sel0.001 qid2,pca2d_hilbert_xy2d,hilbert_real,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1060.2,1050.4,-0.92,True,True,8090.0,9404.8,1.163,True,1.0,0.0455570519020262,0.2
tpc_h/q10 DEEP sf10 sel0.001 qid2,pca2d_zorder_morton,zorder_morton,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1060.2,1065.7,0.52,True,True,8090.0,7300.1,1.108,True,1.0,-0.4083208381382983,-0.4666666666666667
tpc_h/q10 DEEP sf10 sel0.001 qid2,pca4_skilling_hilbert_approx,skilling_hilbert,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1060.2,1067.4,0.68,True,True,8090.0,10458.0,1.293,True,1.0,-0.3349398951575181,-0.4666666666666667
tpc_h/q10 DEEP sf10 sel0.001 qid2,rabitq_1bit_bucket,rabitq_strat,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1060.2,1051.6,-0.81,True,True,8090.0,11371.3,1.406,True,1.0,0.1555059128587122,-0.4666666666666667
tpc_h/q10 DEEP sf10 sel0.001 qid2,rsvd,rsvd,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1060.2,1064.1,0.37,True,True,8090.0,6123.9,1.321,True,1.0,-0.2907392874235439,-0.2
