dataset,mode,selectivity,seed,query_id,D_target,true_card,est,q_error
SimSearchNet++,bernoulli,0.01,0.2,44,459.56390380859375,826497,1246753.2467532468,1.5084788532242062
SimSearchNet++,bernoulli,0.01,0.2,45,459.495361328125,802878,1038961.038961039,1.2940459683302308
SimSearchNet++,bernoulli,0.01,0.2,46,450.1866149902344,785736,207792.2077922078,3.7813545
SimSearchNet++,bernoulli,0.01,0.2,47,468.6938171386719,804578,207792.2077922078,3.872031625
SimSearchNet++,bernoulli,0.01,0.2,48,461.4813232421875,786529,831168.8311688312,1.0567554803050252
SimSearchNet++,bernoulli,0.01,0.2,49,455.8804626464844,797132,207792.2077922078,3.8361977499999997
SimSearchNet++,bernoulli,0.01,0.2,50,460.3205261230469,811048,623376.6233766234,1.3010561666666667
SimSearchNet++,bernoulli,0.01,0.2,51,461.06280517578125,766698,207792.2077922078,3.6897341249999998
SimSearchNet++,bernoulli,0.01,0.2,52,453.3376159667969,805578,1246753.2467532468,1.547650564877947
SimSearchNet++,bernoulli,0.01,0.2,53,450.4808044433594,802879,1038961.038961039,1.2940443565730815
SimSearchNet++,bernoulli,0.01,0.2,54,460.39324951171875,819773,1038961.038961039,1.2673765041798633
SimSearchNet++,bernoulli,0.01,0.2,55,447.2884826660156,812761,207792.2077922078,3.9114123125
SimSearchNet++,bernoulli,0.01,0.2,56,469.0072937011719,805871,1038961.038961039,1.289239889462506
SimSearchNet++,bernoulli,0.01,0.2,57,454.9988708496094,812699,1246753.2467532468,1.5340898004713268
SimSearchNet++,bernoulli,0.01,0.2,58,457.2242431640625,793446,623376.6233766234,1.272819625
SimSearchNet++,bernoulli,0.01,0.2,59,461.410888671875,797411,623376.6233766234,1.2791801458333334
SimSearchNet++,bernoulli,0.01,0.2,60,459.6661071777344,861843,623376.6233766234,1.3825398125
SimSearchNet++,bernoulli,0.01,0.2,61,463.8576354980469,812292,831168.8311688312,1.0232389721538944
SimSearchNet++,bernoulli,0.01,0.2,62,458.5019226074219,816770,623376.6233766234,1.3102352083333333
SimSearchNet++,bernoulli,0.01,0.2,63,470.8662109375,809218,1038961.038961039,1.2839074748226547
SimSearchNet++,bernoulli,0.01,0.2,64,460.90130615234375,816872,1038961.038961039,1.271877404245756
SimSearchNet++,bernoulli,0.01,0.2,65,459.3930358886719,795471,831168.8311688312,1.0448763451701335
SimSearchNet++,bernoulli,0.01,0.2,66,455.562255859375,806856,831168.8311688312,1.0301328008576887
SimSearchNet++,bernoulli,0.01,0.2,67,471.1730041503906,809196,415584.4155844156,1.9471278749999998
SimSearchNet++,bernoulli,0.01,0.2,68,460.58642578125,816240,415584.4155844156,1.9640775
SimSearchNet++,bernoulli,0.01,0.2,69,457.6493835449219,812672,415584.4155844156,1.955492
SimSearchNet++,bernoulli,0.01,0.2,70,455.99005126953125,811990,1038961.038961039,1.2795244263612102
SimSearchNet++,bernoulli,0.01,0.2,71,460.2683410644531,840500,1038961.038961039,1.2361225924581072
SimSearchNet++,bernoulli,0.01,0.2,72,458.9477233886719,797751,1662337.6623376624,2.0837801047415327
SimSearchNet++,bernoulli,0.01,0.2,73,462.16229248046875,822257,0.0,
SimSearchNet++,bernoulli,0.01,0.2,74,449.9244079589844,815620,0.0,
SimSearchNet++,bernoulli,0.01,0.2,75,462.0497131347656,806815,831168.8311688312,1.0301851492211116
SimSearchNet++,bernoulli,0.01,0.2,76,448.06463623046875,798827,623376.6233766234,1.2814516458333334
SimSearchNet++,bernoulli,0.01,0.2,77,450.0210876464844,797837,415584.4155844156,1.9197952812499999
SimSearchNet++,bernoulli,0.01,0.2,78,462.8011169433594,813775,1038961.038961039,1.2767178138441695
SimSearchNet++,bernoulli,0.01,0.2,79,458.7417297363281,794044,207792.2077922078,3.82133675
SimSearchNet++,bernoulli,0.01,0.2,80,459.2297668457031,798529,1038961.038961039,1.3010936847140668
SimSearchNet++,bernoulli,0.01,0.2,81,460.25537109375,775374,2077922.077922078,2.679896511776353
SimSearchNet++,bernoulli,0.01,0.2,82,437.2161560058594,814700,831168.8311688312,1.0202145957638777
