table_pair,dataset,mode,base_method,paradigm,selectivity,seed,query_id,D_deep_target,D_wiki_target,true_card,est,q_error,sample_size_used,total_sample_size
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,4389879,1.2300347089767456,2.5788276195526123,80395,62791.53585887797,1.280347723627676,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,332506,1.2145559787750244,2.8943839073181152,80366,63320.02490601504,1.2692035437333773,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7799146,1.2312073707580566,1.9963270425796509,79734,83858.44240601503,1.0517275240927966,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3041529,1.1483227014541626,2.931670904159546,81824,123047.21214285713,1.5038034335018715,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,737452,1.2798588275909424,2.3986403942108154,74993,62663.38338235294,1.1967595101339403,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5167757,1.252101182937622,2.574997663497925,80637,104401.70992481204,1.2947122279451373,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1813464,1.2436870336532593,3.049060821533203,80166,63720.83088235294,1.2580815235760123,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6207689,1.1708049774169922,2.674319267272949,79967,125003.56708605665,1.5631894042049426,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7385883,1.1777342557907104,3.0078787803649902,82290,125077.18359161794,1.5199560528814915,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1110231,1.2301665544509888,2.9319965839385986,80866,20266.619047619046,3.9901080594644256,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,4260736,1.2347526550292969,3.1932268142700195,78832,81594.3492063492,1.035040963141227,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7241835,1.2067705392837524,2.558413028717041,80396,63274.45259287926,1.2705917902962238,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5886526,1.0852018594741821,2.2235827445983887,79825,124475.18833333332,1.5593509343355254,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7903428,1.1325520277023315,2.916757822036743,80432,103309.05523809524,1.2844272831471957,385,385
