cell,method,selectivity,n_paired,mean_delta_pct_h2h,median_delta_pct_h2h,n_better,p_better,wilcoxon_p,significant_05,method_better
multi_join_deep_wiki,sparse_rp,0.05,500,8.281985110166667,5.260618814651474,182,0.364,1.7060347761550754e-16,True,False
multi_join_deep_wiki,sparse_rp,0.1,500,4.4980388223555074,3.230177843047513,193,0.386,2.67549791230166e-10,True,False
multi_join_deep_wiki,sparse_rp,0.3,500,1.1692962444600565,0.33853104023198977,240,0.48,0.007692823448934813,True,False
multi_join_deep_wiki,sparse_rp,0.5,500,0.5967146032467489,0.2768671441623798,239,0.478,0.01937409845101171,True,False
partsupp_deep_sift_1,HDBSCAN,all,2487,10.899119478489371,2.007279475209427,1014,0.4077201447527141,1.2827821191507408e-44,True,False
partsupp_deep_sift_1,HDBSCAN,0.01,487,41.34259493112762,19.86809833719631,138,0.28336755646817247,8.198930051982714e-36,True,False
partsupp_deep_sift_1,HDBSCAN,0.05,500,8.150454407324105,4.066674185141833,196,0.392,1.6642298361194827e-13,True,False
partsupp_deep_sift_1,HDBSCAN,0.1,500,4.525388239994478,2.482881464072852,198,0.396,1.1419885046882916e-09,True,False
partsupp_deep_sift_1,HDBSCAN,0.3,500,0.9548770875020635,0.041742698181281665,248,0.496,0.033193493426061794,True,False
partsupp_deep_sift_1,HDBSCAN,0.5,500,0.3138130882671868,0.3913965601273283,234,0.468,0.15595963101708926,False,False
partsupp_deep_sift_1,MB_partial,all,2484,13.27855162398442,1.986078949602512,965,0.3884863123993559,5.353559450029035e-54,True,False
partsupp_deep_sift_1,MB_partial,0.01,484,52.355910876125364,27.563250791226498,122,0.25206611570247933,2.3963998086458405e-43,True,False
partsupp_deep_sift_1,MB_partial,0.05,500,9.04743430356065,3.9748273356573542,187,0.374,5.600331951022093e-15,True,False
partsupp_deep_sift_1,MB_partial,0.1,500,4.703687044380619,2.1854749477962327,193,0.386,8.963282924033675e-10,True,False
partsupp_deep_sift_1,MB_partial,0.3,500,1.0957906817502243,0.4727140814014412,219,0.438,0.0006970264216779921,True,False
partsupp_deep_sift_1,MB_partial,0.5,500,0.4404107101737594,0.14587711164047074,244,0.488,0.23288949269158454,False,False
partsupp_deep_sift_1,Hilbert,all,2489,10.43008742767308,1.7386466212343206,988,0.3969465648854962,7.120461629632709e-46,True,False
partsupp_deep_sift_1,Hilbert,0.01,489,40.47140892574355,18.69619568253625,138,0.2822085889570552,5.407285766530874e-36,True,False
partsupp_deep_sift_1,Hilbert,0.05,500,8.324884689057399,5.118986596255498,174,0.348,4.3327841802779835e-20,True,False
partsupp_deep_sift_1,Hilbert,0.1,500,3.3311525177522188,1.8769329606991727,201,0.402,1.084508383389548e-07,True,False
partsupp_deep_sift_1,Hilbert,0.3,500,0.7350560915117469,0.4315932397941612,227,0.454,0.03569855086439359,True,False
partsupp_deep_sift_1,Hilbert,0.5,500,-0.051156012741965344,0.01123349427722491,248,0.496,0.8157931599091663,False,False
partsupp_deep_sift_1,sparse_rp,all,2483,11.155456548923949,2.177766774466714,960,0.38662907772855415,1.534004499661515e-54,True,False
partsupp_deep_sift_1,sparse_rp,0.01,483,40.13512273193463,20.101649078699236,134,0.2774327122153209,1.0979409100668925e-36,True,False
partsupp_deep_sift_1,sparse_rp,0.05,500,10.325793321796107,6.012646178710927,178,0.356,7.95040147850609e-18,True,False
partsupp_deep_sift_1,sparse_rp,0.1,500,4.814097040812539,2.839127802979471,191,0.382,3.3729329107445175e-12,True,False
partsupp_deep_sift_1,sparse_rp,0.3,500,1.1397503434022096,0.8610594790086863,220,0.44,0.0010704387365639975,True,False
partsupp_deep_sift_1,sparse_rp,0.5,500,0.3478279568966221,0.18609739413210086,237,0.474,0.28192501442378937,False,False
partsupp_deep_wiki_1,HDBSCAN,all,2493,11.953546890405232,2.039138559516543,967,0.3878860810268753,3.8632173270199815e-54,True,False
partsupp_deep_wiki_1,HDBSCAN,0.01,493,44.209745638483135,19.53098057475801,129,0.2616632860040568,6.942334339995669e-38,True,False
partsupp_deep_wiki_1,HDBSCAN,0.05,500,9.849311872871178,5.739434142092244,168,0.336,1.4402099566729408e-20,True,False
partsupp_deep_wiki_1,HDBSCAN,0.1,500,5.393210057331538,3.1863492238919138,183,0.366,2.3796064621453036e-14,True,False
partsupp_deep_wiki_1,HDBSCAN,0.3,500,0.6379509143030261,0.23027335322532028,235,0.47,0.14269813076141183,False,False
partsupp_deep_wiki_1,HDBSCAN,0.5,500,0.12910275151037914,-0.007912220452273433,252,0.504,0.9481989410233697,False,True
partsupp_deep_wiki_1,MB_partial,all,2490,11.942032530330748,2.3650943011232015,963,0.38674698795180723,7.399210403458821e-60,True,False
partsupp_deep_wiki_1,MB_partial,0.01,490,45.22236261572637,21.949909612953917,121,0.24693877551020407,9.669725167551055e-44,True,False
partsupp_deep_wiki_1,MB_partial,0.05,500,9.19169846804345,5.61433513078088,163,0.326,2.826633060133925e-19,True,False
