cell,method,selectivity,n_paired,mean_delta_pct_h2h,median_delta_pct_h2h,n_better,p_better,wilcoxon_p,significant_05,method_better
partsupp_deep_wiki_10,sparse_rp,all,2492,10.736761041925195,2.2774218965656416,941,0.3776083467094703,2.283039385340277e-58,True,False
partsupp_deep_wiki_10,sparse_rp,0.01,492,39.171910619202485,20.712541483964905,139,0.28252032520325204,3.5363460301069444e-37,True,False
partsupp_deep_wiki_10,sparse_rp,0.05,500,8.791467241699149,4.746353168451707,175,0.35,2.4998851093426982e-18,True,False
partsupp_deep_wiki_10,sparse_rp,0.1,500,4.296584000674617,3.1611628451774676,187,0.374,2.2780830175882404e-12,True,False
partsupp_deep_wiki_10,sparse_rp,0.3,500,1.3243596276289584,0.6618193390346877,216,0.432,0.0003217860463512929,True,False
partsupp_deep_wiki_10,sparse_rp,0.5,500,0.5544461136572065,0.43875939693320604,224,0.448,0.005206653004130623,True,False
partsupp_deep_wiki_10,PCA1D,all,2488,11.386124039160215,1.9561590857321614,974,0.39147909967845657,1.9056344096362873e-52,True,False
partsupp_deep_wiki_10,PCA1D,0.01,488,43.82472772465249,20.522763946120108,114,0.2336065573770492,8.003886152379591e-44,True,False
partsupp_deep_wiki_10,PCA1D,0.05,500,8.818404073448102,5.631007980708798,183,0.366,1.0750312983569436e-16,True,False
partsupp_deep_wiki_10,PCA1D,0.1,500,3.8650358337538475,1.9071801098139418,211,0.422,2.9689138272301503e-07,True,False
partsupp_deep_wiki_10,PCA1D,0.3,500,0.8309486869652798,0.30868156129402413,240,0.48,0.03597138728560549,True,False
partsupp_deep_wiki_10,PCA1D,0.5,500,0.3700303654331775,0.422790588631278,226,0.452,0.041875326086944,True,False
partsupp_deep_wiki_10,LSH,all,2487,17.047199309639225,3.665747090818007,837,0.3365500603136309,3.4611164897359164e-102,True,False
partsupp_deep_wiki_10,LSH,0.01,487,63.35867800932873,28.756376586361654,97,0.19917864476386038,2.137536787263605e-52,True,False
partsupp_deep_wiki_10,LSH,0.05,500,13.710407936211123,9.683504348673804,153,0.306,2.5922167641555496e-31,True,False
partsupp_deep_wiki_10,LSH,0.1,500,6.607890794049841,4.2417286614104635,168,0.336,1.7960542812106566e-20,True,False
partsupp_deep_wiki_10,LSH,0.3,500,1.7908072622986209,0.8875714299939161,210,0.42,5.39905816816063e-07,True,False
partsupp_deep_wiki_10,LSH,0.5,500,0.9723109924997515,0.7810697473883423,209,0.418,6.633745404602052e-06,True,False
partsupp_deep_wiki_10,Sobol,all,2480,28.59489667040901,5.422061701908683,716,0.2887096774193548,2.5451244526159898e-148,True,False
partsupp_deep_wiki_10,Sobol,0.01,480,108.0650035461119,35.58149027111611,95,0.19791666666666666,4.090813022445548e-55,True,False
partsupp_deep_wiki_10,Sobol,0.05,500,20.41527103063494,10.591711195868218,134,0.268,1.6186257159159923e-38,True,False
partsupp_deep_wiki_10,Sobol,0.1,500,11.363061603539728,7.221615646764536,147,0.294,1.8930334551332988e-33,True,False
partsupp_deep_wiki_10,Sobol,0.3,500,3.842884990664558,1.9387545605481775,175,0.35,7.421413884149401e-17,True,False
partsupp_deep_wiki_10,Sobol,0.5,500,2.4670664561220756,1.7460950339259558,165,0.33,5.033008570166832e-19,True,False
multi_join_deep_wiki,HDBSCAN,all,2485,12.121946390263838,2.159552715161131,962,0.3871227364185111,1.2459816124159267e-54,True,False
multi_join_deep_wiki,HDBSCAN,0.01,485,46.79352872605163,24.889886493702225,120,0.24742268041237114,9.18821992512836e-43,True,False
multi_join_deep_wiki,HDBSCAN,0.05,500,9.31307744754443,5.946203291563992,171,0.342,4.395497893171649e-18,True,False
multi_join_deep_wiki,HDBSCAN,0.1,500,4.224387397828877,2.635511822182181,197,0.394,1.3855222645418084e-08,True,False
multi_join_deep_wiki,HDBSCAN,0.3,500,0.8115324246089564,0.2630015594090276,242,0.484,0.12100099707547858,False,False
multi_join_deep_wiki,HDBSCAN,0.5,500,0.5073534253589234,0.3761420755517384,232,0.464,0.028273805204979283,True,False
multi_join_deep_wiki,MiniBatch,all,2488,11.852849092808624,2.477771172588051,958,0.385048231511254,7.82729209394881e-64,True,False
multi_join_deep_wiki,MiniBatch,0.01,488,41.959258307712425,21.73678505247947,126,0.2581967213114754,7.903293410053863e-40,True,False
multi_join_deep_wiki,MiniBatch,0.05,500,10.916060678526387,6.194403892760185,169,0.338,1.2134592892708706e-21,True,False
multi_join_deep_wiki,MiniBatch,0.1,500,5.2128851133937815,3.2922744794741776,193,0.386,3.302715506792501e-13,True,False
multi_join_deep_wiki,MiniBatch,0.3,500,1.3721031262925982,0.4032366410300664,232,0.464,0.0006373830731969831,True,False
multi_join_deep_wiki,MiniBatch,0.5,500,0.5264920592756215,0.2404751308643818,238,0.476,0.09106539948739124,False,False
multi_join_deep_wiki,GMM,all,2494,12.394268985242338,2.11302413605077,983,0.3941459502806736,3.6346322957694815e-51,True,False
multi_join_deep_wiki,GMM,0.01,494,48.11917053499335,19.422748263886902,122,0.24696356275303644,6.525838339837177e-40,True,False
multi_join_deep_wiki,GMM,0.05,500,8.895482985901985,5.459975638307755,180,0.36,1.2829079313924527e-16,True,False
