cell,anchor,variant,n_pairs,median_diff_ms,anchor_med_ms,variant_med_ms,w_stat,p_value,p_holm,holm_rank
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,CaseB:hyperloglog,15,3659.180447924882,6084.144261898473,3191.8135449523106,0.0,6.103515625e-05,0.00732421875,39
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,CaseB:ica_fastica,15,3567.0972550287843,6084.144261898473,2470.4517560312524,0.0,6.103515625e-05,0.00732421875,36
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,CaseB:lavallee_hidiroglou,15,3514.363537891768,6084.144261898473,2408.4097670856863,0.0,6.103515625e-05,0.00732421875,41
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,CaseB:mhist2,15,3580.178193980828,6084.144261898473,2494.020982994698,0.0,6.103515625e-05,0.00732421875,44
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,CaseB:pca1d,15,3553.028432885185,6084.144261898473,2429.573493078351,0.0,6.103515625e-05,0.00732421875,37
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,CaseB:rabitq_strat,15,3615.2336230734363,6084.144261898473,2426.5147199621424,0.0,6.103515625e-05,0.00732421875,45
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,CaseB:rsvd,15,3778.9891760330647,6084.144261898473,2395.6988930003718,0.0,6.103515625e-05,0.00732421875,42
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,CaseB:skilling_hilbert,15,3654.4004059396684,6084.144261898473,2462.3570629628375,0.0,6.103515625e-05,0.00732421875,34
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,CaseB:sparse_rp,15,3728.0053969006985,6084.144261898473,2878.861694014631,0.0,6.103515625e-05,0.00732421875,43
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,CaseB:zorder_morton,15,3638.496140949428,6084.144261898473,2471.1033429484814,0.0,6.103515625e-05,0.00732421875,38
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,oracle,15,3620.25760486722,6084.144261898473,2886.8850970175117,0.0,6.103515625e-05,0.00732421875,32
tpc_h/q3 DEEP sf10 sel0.1 qid0,B1,CaseB:chao_weighted,15,238.11095696873963,6094.255417003296,6024.694073945284,23.0,0.03533935546875,1.0,9
tpc_h/q3 DEEP sf10 sel0.1 qid0,B1,CaseB:cum_sqrtf,15,288.9759478857741,6094.255417003296,5990.506596979685,27.0,0.063720703125,1.0,14
tpc_h/q3 DEEP sf10 sel0.1 qid0,B1,CaseB:hilbert_real,15,219.31572200264782,6094.255417003296,6071.756517980248,44.0,0.389404296875,1.0,57
tpc_h/q3 DEEP sf10 sel0.1 qid0,B1,CaseB:hyperloglog,15,762.9571639699861,6094.255417003296,5271.877683931962,23.0,0.03533935546875,1.0,10
tpc_h/q3 DEEP sf10 sel0.1 qid0,B1,CaseB:ica_fastica,15,2.1442390279844403,6094.255417003296,6035.648303921334,44.0,0.389404296875,1.0,58
tpc_h/q3 DEEP sf10 sel0.1 qid0,B1,CaseB:lavallee_hidiroglou,15,113.9597229193896,6094.255417003296,6109.598464914598,40.0,0.27685546875,1.0,45
tpc_h/q3 DEEP sf10 sel0.1 qid0,B1,CaseB:mhist2,15,345.2190050156787,6094.255417003296,5979.711881023832,44.0,0.389404296875,1.0,59
tpc_h/q3 DEEP sf10 sel0.1 qid0,B1,CaseB:pca1d,15,42.485527927055955,6094.255417003296,6024.141222937033,33.0,0.1353759765625,1.0,26
tpc_h/q3 DEEP sf10 sel0.1 qid0,B1,CaseB:rabitq_strat,15,524.6665709419176,6094.255417003296,5258.382102008909,20.0,0.02154541015625,1.0,8
tpc_h/q3 DEEP sf10 sel0.1 qid0,B1,CaseB:rsvd,15,56.672503938898444,6094.255417003296,6070.813429076225,34.0,0.15142822265625,1.0,28
tpc_h/q3 DEEP sf10 sel0.1 qid0,B1,CaseB:skilling_hilbert,15,48.95268694963306,6094.255417003296,6043.682602001354,36.0,0.1876220703125,1.0,33
tpc_h/q3 DEEP sf10 sel0.1 qid0,B1,CaseB:sparse_rp,15,213.0025370279327,6094.255417003296,6097.859486937523,19.0,0.01806640625,1.0,7
